sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 8
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 8, tps: 340.96, reads: 4852.37, writes: 1373.82, response time: 34.04ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 8, tps: 356.00, reads: 5001.00, writes: 1421.00, response time: 34.45ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 8, tps: 358.99, reads: 5020.89, writes: 1439.97, response time: 33.83ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 8, tps: 352.00, reads: 4892.05, writes: 1403.01, response time: 36.86ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 8, tps: 359.01, reads: 5065.09, writes: 1440.02, response time: 33.46ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 8, tps: 354.99, reads: 4962.87, writes: 1415.96, response time: 34.45ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 8, tps: 329.01, reads: 4624.12, writes: 1318.03, response time: 39.43ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 8, tps: 356.99, reads: 4983.80, writes: 1435.94, response time: 33.30ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 8, tps: 346.00, reads: 4836.05, writes: 1376.01, response time: 34.95ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 8, tps: 357.00, reads: 4988.01, writes: 1426.00, response time: 34.60ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 8, tps: 344.01, reads: 4804.13, writes: 1370.04, response time: 36.54ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 8, tps: 352.00, reads: 4949.99, writes: 1413.00, response time: 42.75ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 8, tps: 347.99, reads: 4890.82, writes: 1403.95, response time: 42.87ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 8, tps: 359.01, reads: 4994.09, writes: 1423.02, response time: 34.58ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 8, tps: 345.01, reads: 4816.10, writes: 1376.03, response time: 40.97ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 8, tps: 341.00, reads: 4777.00, writes: 1368.00, response time: 36.56ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 8, tps: 350.00, reads: 4945.01, writes: 1417.00, response time: 39.84ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 8, tps: 356.00, reads: 4941.01, writes: 1407.00, response time: 36.08ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 8, tps: 346.00, reads: 4888.98, writes: 1403.99, response time: 35.30ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 8, tps: 343.99, reads: 4812.92, writes: 1370.98, response time: 44.77ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 8, tps: 347.01, reads: 4867.09, writes: 1397.03, response time: 39.84ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 8, tps: 358.99, reads: 5007.87, writes: 1419.96, response time: 33.39ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 8, tps: 362.01, reads: 5064.11, writes: 1447.03, response time: 32.05ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 8, tps: 349.00, reads: 4836.01, writes: 1387.00, response time: 36.85ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 8, tps: 341.99, reads: 4848.80, writes: 1380.94, response time: 41.35ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 8, tps: 361.00, reads: 5045.01, writes: 1445.00, response time: 32.74ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 8, tps: 357.01, reads: 4978.10, writes: 1419.03, response time: 33.31ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 8, tps: 340.99, reads: 4793.92, writes: 1363.98, response time: 33.15ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 8, tps: 357.01, reads: 4958.09, writes: 1426.03, response time: 33.79ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 8, tps: 338.01, reads: 4773.09, writes: 1360.03, response time: 34.75ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 8, tps: 356.00, reads: 4999.99, writes: 1434.00, response time: 32.69ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 8, tps: 349.99, reads: 4875.90, writes: 1391.97, response time: 35.84ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 8, tps: 348.00, reads: 4882.02, writes: 1388.01, response time: 33.65ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 8, tps: 337.00, reads: 4724.94, writes: 1343.98, response time: 47.15ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 8, tps: 350.01, reads: 4881.12, writes: 1409.03, response time: 45.55ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 8, tps: 329.00, reads: 4610.01, writes: 1308.00, response time: 221.27ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 8, tps: 354.00, reads: 4979.99, writes: 1428.00, response time: 33.55ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 8, tps: 349.00, reads: 4862.97, writes: 1388.99, response time: 42.48ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 8, tps: 351.99, reads: 4919.85, writes: 1405.96, response time: 34.29ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 8, tps: 356.00, reads: 4993.02, writes: 1423.01, response time: 35.99ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 8, tps: 359.01, reads: 4993.16, writes: 1430.04, response time: 33.72ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 8, tps: 355.00, reads: 4991.03, writes: 1419.01, response time: 34.04ms (99%), errors: 0.00, reconnects:  0.00
