sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 512, tps: 5109.19, reads: 73253.33, writes: 20440.74, response time: 120.36ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 512, tps: 5099.06, reads: 69873.77, writes: 20392.22, response time: 140.17ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 512, tps: 4865.96, reads: 75070.42, writes: 21361.83, response time: 278.12ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 512, tps: 5118.95, reads: 64648.40, writes: 18577.83, response time: 140.85ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 512, tps: 5068.07, reads: 76593.12, writes: 20282.30, response time: 108.39ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 512, tps: 5057.87, reads: 67972.26, writes: 20221.48, response time: 189.94ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 512, tps: 5120.12, reads: 75827.76, writes: 21215.49, response time: 101.88ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 512, tps: 5111.92, reads: 64700.04, writes: 19714.71, response time: 131.04ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 512, tps: 5103.09, reads: 77420.38, writes: 20428.36, response time: 100.67ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 512, tps: 5069.00, reads: 68814.99, writes: 20273.00, response time: 133.02ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 512, tps: 5218.00, reads: 74914.99, writes: 21326.00, response time: 275.47ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 512, tps: 5007.03, reads: 68001.39, writes: 19559.11, response time: 300.18ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 512, tps: 5057.87, reads: 74163.12, writes: 22279.44, response time: 97.96ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 512, tps: 4967.09, reads: 69286.31, writes: 18305.35, response time: 276.38ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 512, tps: 5033.89, reads: 70710.48, writes: 21678.53, response time: 116.22ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 512, tps: 5077.12, reads: 70407.66, writes: 18291.43, response time: 134.98ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 512, tps: 5527.99, reads: 76983.84, writes: 22117.95, response time: 100.24ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 512, tps: 5093.00, reads: 67873.04, writes: 20359.01, response time: 156.78ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 512, tps: 5146.96, reads: 72985.43, writes: 21545.83, response time: 262.82ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 4838.87, reads: 65238.30, writes: 18401.52, response time: 279.54ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 512, tps: 4977.10, reads: 75670.46, writes: 21425.41, response time: 267.83ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 512, tps: 4988.06, reads: 63656.76, writes: 18531.22, response time: 278.20ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 512, tps: 5002.01, reads: 75655.22, writes: 19965.06, response time: 271.13ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 512, tps: 5076.99, reads: 66889.92, writes: 20252.97, response time: 149.00ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 512, tps: 5111.87, reads: 75868.09, writes: 20787.48, response time: 104.44ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 512, tps: 4941.14, reads: 68285.96, writes: 19421.56, response time: 262.82ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 512, tps: 4941.89, reads: 70578.45, writes: 21754.52, response time: 296.79ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 512, tps: 5055.11, reads: 70462.51, writes: 18577.40, response time: 307.92ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 512, tps: 5063.97, reads: 69806.59, writes: 21540.87, response time: 272.93ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 4986.86, reads: 71260.07, writes: 20363.45, response time: 128.29ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 512, tps: 5464.13, reads: 74425.83, writes: 19808.49, response time: 263.93ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 512, tps: 4847.98, reads: 69925.75, writes: 21080.92, response time: 300.63ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 512, tps: 5562.06, reads: 72257.84, writes: 20571.24, response time: 122.58ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 512, tps: 5050.00, reads: 72287.93, writes: 20187.98, response time: 136.28ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 512, tps: 5069.00, reads: 74466.05, writes: 20377.01, response time: 108.94ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 512, tps: 4993.01, reads: 70412.16, writes: 21803.05, response time: 148.78ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 512, tps: 5256.93, reads: 73404.07, writes: 20332.74, response time: 170.89ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 512, tps: 5014.04, reads: 67188.58, writes: 18819.16, response time: 273.50ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 512, tps: 4950.01, reads: 72526.13, writes: 21797.04, response time: 259.93ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 4876.86, reads: 68277.04, writes: 19554.44, response time: 273.58ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 512, tps: 5411.14, reads: 74451.96, writes: 19607.52, response time: 269.11ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 512, tps: 4911.02, reads: 69887.28, writes: 21551.08, response time: 107.26ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 512, tps: 5517.63, reads: 70582.23, writes: 20162.64, response time: 318.61ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 512, tps: 5064.32, reads: 75008.81, writes: 20253.30, response time: 116.95ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 512, tps: 5012.01, reads: 71210.14, writes: 20046.04, response time: 265.27ms (99%), errors: 0.00, reconnects:  0.00
