sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 1, tps: 6.00, reads: 97.97, writes: 23.99, response time: 262.67ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1, tps: 11.00, reads: 154.00, writes: 44.00, response time: 182.42ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1, tps: 12.00, reads: 160.00, writes: 48.00, response time: 140.47ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1, tps: 12.00, reads: 163.00, writes: 48.00, response time: 153.07ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1, tps: 11.00, reads: 167.00, writes: 47.00, response time: 132.50ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1, tps: 15.00, reads: 204.00, writes: 57.00, response time: 136.73ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1, tps: 13.00, reads: 188.00, writes: 56.00, response time: 137.31ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1, tps: 11.00, reads: 154.00, writes: 42.00, response time: 140.42ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1, tps: 12.00, reads: 168.00, writes: 49.00, response time: 152.20ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1, tps: 12.00, reads: 168.00, writes: 45.00, response time: 127.56ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1, tps: 15.00, reads: 210.00, writes: 60.00, response time: 169.36ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1, tps: 16.00, reads: 222.00, writes: 64.00, response time: 139.00ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1, tps: 14.00, reads: 191.00, writes: 56.00, response time: 137.68ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1, tps: 22.00, reads: 315.00, writes: 92.00, response time: 151.83ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1, tps: 18.00, reads: 252.00, writes: 71.00, response time: 111.78ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1, tps: 16.00, reads: 212.00, writes: 61.00, response time: 149.49ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1, tps: 15.00, reads: 217.00, writes: 60.00, response time: 96.77ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1, tps: 21.00, reads: 298.99, writes: 86.00, response time: 109.17ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1, tps: 23.00, reads: 312.01, writes: 90.00, response time: 111.78ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 17.00, reads: 242.00, writes: 68.00, response time: 126.99ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1, tps: 22.00, reads: 301.00, writes: 88.00, response time: 78.38ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1, tps: 16.00, reads: 236.99, writes: 68.00, response time: 91.11ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1, tps: 28.00, reads: 389.00, writes: 108.00, response time: 94.99ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1, tps: 18.00, reads: 252.00, writes: 72.00, response time: 135.83ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 1, tps: 15.00, reads: 212.00, writes: 60.00, response time: 105.29ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 1, tps: 23.00, reads: 311.00, writes: 92.00, response time: 91.39ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 1, tps: 18.00, reads: 252.99, writes: 72.00, response time: 86.10ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 1, tps: 20.00, reads: 291.01, writes: 84.00, response time: 94.96ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 1, tps: 20.00, reads: 271.00, writes: 76.00, response time: 86.70ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 19.00, reads: 266.00, writes: 76.00, response time: 79.47ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 1, tps: 19.00, reads: 267.00, writes: 76.00, response time: 77.10ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 1, tps: 25.00, reads: 348.00, writes: 100.00, response time: 82.08ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 1, tps: 20.00, reads: 288.00, writes: 80.00, response time: 75.73ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 1, tps: 24.00, reads: 335.00, writes: 96.00, response time: 77.45ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 1, tps: 19.00, reads: 258.00, writes: 76.00, response time: 78.47ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 1, tps: 18.00, reads: 263.00, writes: 73.00, response time: 81.05ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 1, tps: 19.00, reads: 266.00, writes: 78.00, response time: 92.32ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 1, tps: 22.00, reads: 305.00, writes: 85.00, response time: 82.22ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 1, tps: 21.00, reads: 294.00, writes: 84.00, response time: 83.66ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 24.00, reads: 333.00, writes: 96.00, response time: 74.51ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 1, tps: 18.00, reads: 258.00, writes: 76.00, response time: 77.82ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 1, tps: 17.00, reads: 238.00, writes: 66.00, response time: 78.97ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 1, tps: 22.00, reads: 304.00, writes: 86.00, response time: 74.07ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 1, tps: 24.00, reads: 336.00, writes: 96.00, response time: 73.05ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 1, tps: 20.00, reads: 284.00, writes: 84.00, response time: 81.25ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 1, tps: 23.00, reads: 322.00, writes: 89.00, response time: 84.32ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 1, tps: 22.00, reads: 308.01, writes: 91.00, response time: 75.93ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 1, tps: 25.00, reads: 348.99, writes: 96.00, response time: 72.79ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1, tps: 21.00, reads: 295.00, writes: 88.00, response time: 80.69ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 25.00, reads: 339.99, writes: 96.00, response time: 84.07ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 1, tps: 23.00, reads: 329.00, writes: 92.00, response time: 77.82ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 1, tps: 24.00, reads: 336.99, writes: 96.00, response time: 72.51ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 1, tps: 24.00, reads: 332.01, writes: 96.00, response time: 74.58ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 1, tps: 21.00, reads: 298.99, writes: 84.00, response time: 78.85ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 1, tps: 23.00, reads: 318.01, writes: 92.00, response time: 76.64ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 1, tps: 20.00, reads: 278.00, writes: 80.00, response time: 74.83ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 1, tps: 18.00, reads: 254.01, writes: 72.00, response time: 87.32ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 1, tps: 23.00, reads: 326.99, writes: 96.00, response time: 75.59ms (99%), errors: 0.00, reconnects:  0.00
[  59s] threads: 1, tps: 24.00, reads: 332.00, writes: 92.00, response time: 72.90ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 25.00, reads: 351.01, writes: 100.00, response time: 80.21ms (99%), errors: 0.00, reconnects:  0.00
[  61s] threads: 1, tps: 20.00, reads: 281.99, writes: 80.00, response time: 71.65ms (99%), errors: 0.00, reconnects:  0.00
[  62s] threads: 1, tps: 22.00, reads: 302.00, writes: 88.00, response time: 74.22ms (99%), errors: 0.00, reconnects:  0.00
[  63s] threads: 1, tps: 25.00, reads: 347.01, writes: 100.00, response time: 69.31ms (99%), errors: 0.00, reconnects:  0.00
