sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 256
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 256, tps: 4090.23, reads: 60095.73, writes: 16360.93, response time: 84.24ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 256, tps: 4090.07, reads: 57994.01, writes: 17090.30, response time: 85.13ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 256, tps: 4345.01, reads: 60848.14, writes: 17586.04, response time: 64.44ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 256, tps: 3833.00, reads: 53340.97, writes: 14396.99, response time: 133.70ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 256, tps: 4346.96, reads: 59025.50, writes: 17386.85, response time: 64.50ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 256, tps: 3701.80, reads: 52242.24, writes: 15335.19, response time: 110.62ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 256, tps: 4225.17, reads: 60888.48, writes: 17396.71, response time: 62.21ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 256, tps: 4086.08, reads: 56060.08, writes: 15320.29, response time: 97.84ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 256, tps: 4089.75, reads: 58400.41, writes: 17378.93, response time: 68.60ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 256, tps: 3837.02, reads: 53719.25, writes: 15352.07, response time: 107.87ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 256, tps: 4347.13, reads: 60859.81, writes: 17350.52, response time: 62.99ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 256, tps: 3838.10, reads: 52653.37, writes: 14366.38, response time: 110.85ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 256, tps: 4346.00, reads: 59170.96, writes: 17383.99, response time: 65.61ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 256, tps: 3772.49, reads: 52893.84, writes: 15345.92, response time: 107.87ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 256, tps: 4150.32, reads: 60778.73, writes: 17365.35, response time: 85.23ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 256, tps: 4081.14, reads: 54634.92, writes: 15304.54, response time: 112.29ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 256, tps: 4083.84, reads: 59670.71, writes: 17355.33, response time: 67.04ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 256, tps: 3833.09, reads: 53481.23, writes: 14370.33, response time: 104.53ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 256, tps: 4340.18, reads: 58974.48, writes: 17302.73, response time: 70.25ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 256, tps: 3836.93, reads: 55625.05, writes: 15505.74, response time: 101.12ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 256, tps: 4349.00, reads: 60690.01, writes: 17240.00, response time: 64.56ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 256, tps: 3605.85, reads: 50738.84, writes: 15441.34, response time: 156.31ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 256, tps: 4346.20, reads: 60589.76, writes: 16370.74, response time: 64.08ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 256, tps: 3833.05, reads: 53511.71, writes: 15335.20, response time: 152.66ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 256, tps: 4338.99, reads: 58332.91, writes: 17346.97, response time: 67.00ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 256, tps: 3576.80, reads: 52895.99, writes: 15321.13, response time: 120.36ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 256, tps: 4340.25, reads: 60585.43, writes: 16374.93, response time: 66.94ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 256, tps: 3833.00, reads: 50642.03, writes: 15308.01, response time: 135.59ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 256, tps: 4091.95, reads: 60488.21, writes: 17221.77, response time: 66.30ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 256, tps: 3820.05, reads: 50454.63, writes: 14422.18, response time: 149.71ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 256, tps: 4086.83, reads: 60232.50, writes: 16815.30, response time: 65.53ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 256, tps: 3830.14, reads: 52523.98, writes: 14860.56, response time: 164.86ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 256, tps: 4086.11, reads: 58314.54, writes: 17359.46, response time: 89.41ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 256, tps: 3833.87, reads: 53662.16, writes: 15314.48, response time: 118.57ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 256, tps: 4334.06, reads: 59731.82, writes: 16335.22, response time: 66.24ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 256, tps: 3907.99, reads: 53252.80, writes: 15630.94, response time: 141.22ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 256, tps: 4337.01, reads: 61090.11, writes: 17348.03, response time: 65.32ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 256, tps: 3565.81, reads: 51965.17, writes: 15287.17, response time: 105.10ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 256, tps: 4343.20, reads: 60784.82, writes: 16955.79, response time: 64.12ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 256, tps: 3822.04, reads: 52017.59, writes: 14681.17, response time: 166.45ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 256, tps: 4336.98, reads: 59923.74, writes: 17347.92, response time: 62.94ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 256, tps: 3566.00, reads: 51652.05, writes: 14284.01, response time: 135.96ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 256, tps: 3830.00, reads: 53788.94, writes: 15299.98, response time: 132.86ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 256, tps: 4073.01, reads: 57098.18, writes: 16304.05, response time: 104.85ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 256, tps: 3814.87, reads: 53740.14, writes: 16271.44, response time: 139.17ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 256, tps: 4347.07, reads: 60264.98, writes: 16364.27, response time: 80.25ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 256, tps: 3833.84, reads: 54244.79, writes: 16351.33, response time: 110.69ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 256, tps: 4084.13, reads: 57199.77, writes: 16339.51, response time: 116.01ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 256, tps: 4075.98, reads: 57064.67, writes: 16300.90, response time: 137.84ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 256, tps: 4085.91, reads: 57202.75, writes: 16349.64, response time: 89.90ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 256, tps: 4075.12, reads: 56953.71, writes: 15392.46, response time: 126.61ms (99%), errors: 0.00, reconnects:  0.00
