sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 713.83, reads: 10216.63, writes: 2913.32, response time: 51.07ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 766.01, reads: 10686.19, writes: 3012.05, response time: 47.15ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 763.99, reads: 10725.93, writes: 3105.98, response time: 38.52ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 738.01, reads: 10339.09, writes: 2956.02, response time: 43.33ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 741.98, reads: 10389.78, writes: 2971.94, response time: 50.45ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 732.02, reads: 10248.24, writes: 2924.07, response time: 59.65ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 751.99, reads: 10520.86, writes: 2985.96, response time: 53.38ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 745.01, reads: 10417.08, writes: 2974.02, response time: 56.34ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 716.99, reads: 10029.86, writes: 2871.96, response time: 42.57ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 716.00, reads: 9918.04, writes: 2836.01, response time: 68.30ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 732.02, reads: 10283.24, writes: 2935.07, response time: 62.67ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 731.99, reads: 10253.79, writes: 2928.94, response time: 59.99ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 726.99, reads: 10270.92, writes: 2948.98, response time: 66.18ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 746.00, reads: 10430.03, writes: 2949.01, response time: 51.24ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 733.02, reads: 10175.26, writes: 2922.07, response time: 49.61ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 726.99, reads: 10154.85, writes: 2915.96, response time: 50.45ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 747.98, reads: 10587.73, writes: 3022.92, response time: 49.45ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 725.02, reads: 10147.28, writes: 2887.08, response time: 58.98ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 728.98, reads: 10193.66, writes: 2895.90, response time: 50.16ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 734.02, reads: 10206.34, writes: 2927.10, response time: 51.81ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 742.99, reads: 10414.85, writes: 2980.96, response time: 52.31ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 742.00, reads: 10411.05, writes: 2977.01, response time: 37.75ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 730.00, reads: 10225.94, writes: 2935.98, response time: 56.04ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 743.03, reads: 10408.39, writes: 2961.11, response time: 48.52ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 722.98, reads: 10136.67, writes: 2878.91, response time: 47.77ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 726.00, reads: 10130.02, writes: 2903.01, response time: 61.43ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 726.00, reads: 10224.97, writes: 2937.99, response time: 43.58ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 738.02, reads: 10311.23, writes: 2926.06, response time: 49.56ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 732.00, reads: 10091.00, writes: 2906.00, response time: 52.46ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 710.99, reads: 10110.84, writes: 2864.95, response time: 53.72ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 730.00, reads: 10123.94, writes: 2902.98, response time: 51.90ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 712.02, reads: 9967.25, writes: 2852.07, response time: 59.53ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 720.99, reads: 10172.93, writes: 2908.98, response time: 48.00ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 738.99, reads: 10376.90, writes: 2951.97, response time: 52.10ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 729.99, reads: 10148.92, writes: 2902.98, response time: 55.60ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 731.01, reads: 10265.13, writes: 2931.04, response time: 53.98ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 728.01, reads: 10228.14, writes: 2930.04, response time: 55.73ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 728.01, reads: 10137.13, writes: 2872.04, response time: 58.35ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 731.99, reads: 10275.88, writes: 2947.96, response time: 52.70ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 730.99, reads: 10208.79, writes: 2916.94, response time: 57.96ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 735.01, reads: 10274.18, writes: 2942.05, response time: 60.14ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 690.98, reads: 9691.78, writes: 2747.94, response time: 53.38ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 694.02, reads: 9762.24, writes: 2806.07, response time: 49.18ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 701.01, reads: 9826.07, writes: 2813.02, response time: 64.99ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 746.98, reads: 10442.66, writes: 2978.90, response time: 45.35ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 740.00, reads: 10336.02, writes: 2961.00, response time: 60.46ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 732.00, reads: 10229.97, writes: 2916.99, response time: 50.66ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 721.04, reads: 10136.61, writes: 2912.18, response time: 58.47ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 729.97, reads: 10196.60, writes: 2901.89, response time: 50.28ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 734.01, reads: 10290.09, writes: 2940.03, response time: 55.44ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 736.00, reads: 10158.94, writes: 2917.98, response time: 44.61ms (99%), errors: 0.00, reconnects:  0.00
