sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 8
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 8, tps: 352.93, reads: 4999.03, writes: 1416.73, response time: 36.90ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 8, tps: 359.01, reads: 5044.14, writes: 1441.04, response time: 37.43ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 8, tps: 346.00, reads: 4871.00, writes: 1388.00, response time: 58.12ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 8, tps: 362.99, reads: 5059.84, writes: 1437.95, response time: 37.06ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 8, tps: 350.01, reads: 4885.16, writes: 1400.05, response time: 59.67ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 8, tps: 361.99, reads: 5108.82, writes: 1463.95, response time: 34.90ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 8, tps: 347.01, reads: 4845.14, writes: 1380.04, response time: 59.07ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 8, tps: 346.99, reads: 4867.88, writes: 1395.97, response time: 38.48ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 8, tps: 338.00, reads: 4732.01, writes: 1356.00, response time: 70.27ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 8, tps: 370.01, reads: 5149.10, writes: 1467.03, response time: 35.96ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 8, tps: 337.99, reads: 4758.90, writes: 1363.97, response time: 48.29ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 8, tps: 368.00, reads: 5144.04, writes: 1465.01, response time: 37.96ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 8, tps: 335.00, reads: 4642.07, writes: 1330.02, response time: 71.95ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 8, tps: 357.98, reads: 5054.77, writes: 1435.93, response time: 37.69ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 8, tps: 336.01, reads: 4729.10, writes: 1359.03, response time: 54.96ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 8, tps: 357.99, reads: 5007.87, writes: 1434.96, response time: 39.09ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 8, tps: 354.02, reads: 4917.24, writes: 1403.07, response time: 52.57ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 8, tps: 355.99, reads: 5006.86, writes: 1436.96, response time: 38.25ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 8, tps: 352.01, reads: 4908.12, writes: 1397.03, response time: 68.67ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 8, tps: 371.98, reads: 5224.77, writes: 1492.94, response time: 34.81ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 8, tps: 354.01, reads: 4939.10, writes: 1406.03, response time: 44.29ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 8, tps: 366.00, reads: 5153.02, writes: 1478.01, response time: 35.63ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 8, tps: 355.00, reads: 4942.94, writes: 1400.98, response time: 42.43ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 8, tps: 356.01, reads: 5012.08, writes: 1443.02, response time: 36.65ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 8, tps: 350.00, reads: 4883.98, writes: 1390.00, response time: 72.77ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 8, tps: 355.99, reads: 4978.85, writes: 1415.96, response time: 36.90ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 8, tps: 348.02, reads: 4854.23, writes: 1391.07, response time: 62.75ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 8, tps: 357.98, reads: 5016.79, writes: 1444.94, response time: 35.89ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 8, tps: 346.00, reads: 4873.00, writes: 1377.00, response time: 67.14ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 8, tps: 348.02, reads: 4869.23, writes: 1407.07, response time: 41.02ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 8, tps: 353.99, reads: 4963.87, writes: 1407.96, response time: 51.90ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 8, tps: 355.99, reads: 4953.84, writes: 1412.96, response time: 38.34ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 8, tps: 327.00, reads: 4610.00, writes: 1325.00, response time: 66.74ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 8, tps: 354.01, reads: 4960.14, writes: 1407.04, response time: 37.71ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 8, tps: 348.99, reads: 4864.82, writes: 1397.95, response time: 48.17ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 8, tps: 357.02, reads: 4961.22, writes: 1419.06, response time: 36.70ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 8, tps: 345.99, reads: 4877.85, writes: 1389.96, response time: 67.22ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 8, tps: 358.02, reads: 4981.25, writes: 1420.07, response time: 37.39ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 8, tps: 352.98, reads: 4951.75, writes: 1420.93, response time: 50.69ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 8, tps: 353.02, reads: 4978.22, writes: 1413.06, response time: 37.08ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 8, tps: 347.99, reads: 4835.89, writes: 1384.97, response time: 59.51ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 8, tps: 347.00, reads: 4902.94, writes: 1407.98, response time: 37.77ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 8, tps: 338.00, reads: 4714.07, writes: 1343.02, response time: 62.66ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 8, tps: 362.00, reads: 5070.02, writes: 1450.01, response time: 38.68ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 8, tps: 357.01, reads: 4993.10, writes: 1416.03, response time: 49.42ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 8, tps: 354.00, reads: 4958.00, writes: 1424.00, response time: 39.34ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 8, tps: 353.00, reads: 4939.03, writes: 1401.01, response time: 52.53ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 8, tps: 360.00, reads: 5028.98, writes: 1451.99, response time: 35.95ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 8, tps: 354.99, reads: 4966.89, writes: 1418.97, response time: 50.42ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 8, tps: 361.00, reads: 5069.01, writes: 1438.00, response time: 38.34ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 8, tps: 340.00, reads: 4726.99, writes: 1357.00, response time: 58.56ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 8, tps: 353.00, reads: 4949.01, writes: 1412.00, response time: 37.50ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 8, tps: 336.00, reads: 4711.99, writes: 1346.00, response time: 69.95ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 8, tps: 361.01, reads: 5009.11, writes: 1439.03, response time: 35.89ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 8, tps: 348.99, reads: 4952.89, writes: 1405.97, response time: 48.87ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 8, tps: 357.00, reads: 5009.99, writes: 1431.00, response time: 38.11ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 8, tps: 347.00, reads: 4839.02, writes: 1389.00, response time: 74.25ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 8, tps: 354.00, reads: 4924.01, writes: 1402.00, response time: 37.25ms (99%), errors: 0.00, reconnects:  0.00
[  59s] threads: 8, tps: 349.99, reads: 4959.84, writes: 1423.96, response time: 52.12ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 8, tps: 360.01, reads: 5021.09, writes: 1436.02, response time: 38.15ms (99%), errors: 0.00, reconnects:  0.00
[  61s] threads: 8, tps: 346.01, reads: 4839.14, writes: 1377.04, response time: 47.52ms (99%), errors: 0.00, reconnects:  0.00
[  62s] threads: 8, tps: 371.99, reads: 5194.90, writes: 1486.97, response time: 36.67ms (99%), errors: 0.00, reconnects:  0.00
[  63s] threads: 8, tps: 348.01, reads: 4906.09, writes: 1405.02, response time: 63.77ms (99%), errors: 0.00, reconnects:  0.00
[  64s] threads: 8, tps: 364.00, reads: 5045.01, writes: 1439.00, response time: 39.31ms (99%), errors: 0.00, reconnects:  0.00
[  65s] threads: 8, tps: 349.98, reads: 4915.77, writes: 1395.94, response time: 59.99ms (99%), errors: 0.00, reconnects:  0.00
[  66s] threads: 8, tps: 362.02, reads: 5083.25, writes: 1450.07, response time: 36.97ms (99%), errors: 0.00, reconnects:  0.00
[  67s] threads: 8, tps: 347.99, reads: 4847.83, writes: 1392.95, response time: 55.42ms (99%), errors: 0.00, reconnects:  0.00
