sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 64, tps: 2239.69, reads: 32154.56, writes: 8964.76, response time: 33.99ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 64, tps: 1979.04, reads: 27769.54, writes: 7965.16, response time: 46.22ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 64, tps: 2193.99, reads: 30708.87, writes: 8740.96, response time: 30.96ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 64, tps: 2100.96, reads: 29436.46, writes: 8484.85, response time: 59.99ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 64, tps: 2195.97, reads: 30761.58, writes: 8937.88, response time: 32.90ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 64, tps: 2168.07, reads: 29641.00, writes: 8417.28, response time: 57.69ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 64, tps: 2234.99, reads: 31999.86, writes: 9131.96, response time: 32.12ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 64, tps: 2095.01, reads: 28744.13, writes: 8188.04, response time: 58.10ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 64, tps: 2227.95, reads: 31776.32, writes: 9163.81, response time: 32.71ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 64, tps: 2105.04, reads: 28658.58, writes: 8172.17, response time: 60.61ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 64, tps: 2236.93, reads: 32132.04, writes: 9199.73, response time: 30.61ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 64, tps: 2098.03, reads: 29372.37, writes: 8388.11, response time: 50.60ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 64, tps: 2233.99, reads: 31267.87, writes: 8848.96, response time: 41.13ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 64, tps: 2095.04, reads: 28679.60, writes: 8215.17, response time: 94.05ms (99%), errors: 0.00, reconnects:  0.00
