sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 64, tps: 2107.59, reads: 30402.02, writes: 8681.29, response time: 39.82ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 64, tps: 1971.01, reads: 27594.13, writes: 7889.04, response time: 80.09ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 64, tps: 2096.99, reads: 29348.82, writes: 8383.95, response time: 85.79ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 64, tps: 1910.01, reads: 26748.18, writes: 7567.05, response time: 83.89ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 64, tps: 2152.11, reads: 30123.51, writes: 8598.43, response time: 33.61ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 64, tps: 1852.00, reads: 25066.96, writes: 7246.99, response time: 120.94ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 64, tps: 2164.89, reads: 30346.43, writes: 8651.55, response time: 32.73ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 64, tps: 1843.00, reads: 26631.97, writes: 7627.99, response time: 59.99ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 64, tps: 2227.01, reads: 30282.10, writes: 8652.03, response time: 77.70ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 64, tps: 1847.03, reads: 26390.46, writes: 7388.13, response time: 121.30ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 64, tps: 2108.96, reads: 29889.46, writes: 8684.84, response time: 34.03ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 64, tps: 1918.00, reads: 26838.96, writes: 7654.99, response time: 101.12ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 64, tps: 2216.01, reads: 31037.10, writes: 8870.03, response time: 35.09ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 64, tps: 1973.05, reads: 27622.69, writes: 7910.20, response time: 80.64ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 64, tps: 2166.00, reads: 30012.04, writes: 8408.01, response time: 86.67ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 64, tps: 1913.91, reads: 27106.77, writes: 7911.64, response time: 35.27ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 64, tps: 2097.04, reads: 29358.62, writes: 8388.18, response time: 122.87ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 64, tps: 2042.99, reads: 28601.84, writes: 8171.95, response time: 51.90ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 64, tps: 2102.07, reads: 28640.90, writes: 8152.26, response time: 106.43ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 64, tps: 1979.94, reads: 28507.12, writes: 8175.75, response time: 32.70ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 64, tps: 2043.06, reads: 28206.88, writes: 7916.25, response time: 124.91ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 64, tps: 2104.00, reads: 28981.94, writes: 8415.98, response time: 70.06ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 64, tps: 1919.96, reads: 27749.43, writes: 7935.84, response time: 116.29ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 64, tps: 2175.99, reads: 30463.84, writes: 8703.96, response time: 35.67ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 64, tps: 1909.01, reads: 25830.08, writes: 7380.02, response time: 86.15ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 64, tps: 2108.99, reads: 30421.84, writes: 8689.96, response time: 34.71ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 64, tps: 1975.98, reads: 26924.73, writes: 7653.92, response time: 73.25ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 64, tps: 2157.12, reads: 30937.69, writes: 8841.48, response time: 33.82ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 64, tps: 1966.98, reads: 27538.69, writes: 7904.91, response time: 87.22ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 64, tps: 2166.93, reads: 30336.98, writes: 8666.71, response time: 33.44ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 64, tps: 1902.00, reads: 26606.00, writes: 7429.00, response time: 94.14ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 64, tps: 2169.02, reads: 29897.22, writes: 8602.06, response time: 34.04ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 64, tps: 1848.99, reads: 26356.87, writes: 7457.96, response time: 98.20ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 64, tps: 2164.10, reads: 30029.38, writes: 8594.40, response time: 32.76ms (99%), errors: 0.00, reconnects:  0.00
