sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 256
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 256, tps: 4320.38, reads: 63103.98, writes: 17281.53, response time: 71.39ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 256, tps: 4493.90, reads: 63379.54, writes: 17975.59, response time: 64.44ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 256, tps: 4363.11, reads: 60565.58, writes: 17452.46, response time: 259.54ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 256, tps: 4537.03, reads: 64529.39, writes: 19047.12, response time: 88.67ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 256, tps: 4775.93, reads: 64166.02, writes: 18204.72, response time: 68.05ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 256, tps: 4525.04, reads: 65666.55, writes: 18108.15, response time: 78.19ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 256, tps: 4340.90, reads: 61160.52, writes: 18377.56, response time: 85.10ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 256, tps: 4585.07, reads: 64190.99, writes: 18337.28, response time: 71.88ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 256, tps: 4591.07, reads: 63899.01, writes: 17412.28, response time: 100.33ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 256, tps: 4500.98, reads: 61435.73, writes: 17937.92, response time: 72.71ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 256, tps: 4084.94, reads: 59143.13, writes: 17359.74, response time: 98.17ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 256, tps: 4792.08, reads: 65693.05, writes: 18154.29, response time: 60.37ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 256, tps: 4091.83, reads: 58545.61, writes: 16799.31, response time: 267.91ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 256, tps: 4592.11, reads: 64408.50, writes: 18873.44, response time: 240.54ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 256, tps: 4142.93, reads: 58016.09, writes: 16640.74, response time: 252.11ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 256, tps: 4844.09, reads: 65127.21, writes: 18363.34, response time: 79.30ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 256, tps: 4328.07, reads: 63134.02, writes: 17537.28, response time: 100.94ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 256, tps: 4572.93, reads: 64171.96, writes: 19090.69, response time: 60.55ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 256, tps: 4336.07, reads: 60669.02, writes: 17194.29, response time: 115.98ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 256, tps: 4500.00, reads: 61086.95, writes: 17125.99, response time: 98.70ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 256, tps: 4489.55, reads: 61359.81, writes: 17958.19, response time: 86.10ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 256, tps: 4342.37, reads: 63801.44, writes: 17373.48, response time: 88.48ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 256, tps: 4594.04, reads: 63137.53, writes: 18372.15, response time: 76.73ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 256, tps: 4335.93, reads: 62307.03, writes: 18351.71, response time: 90.30ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 256, tps: 4553.03, reads: 63743.46, writes: 18220.13, response time: 71.69ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 256, tps: 4580.04, reads: 64053.60, writes: 17814.17, response time: 71.71ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 256, tps: 4334.92, reads: 60764.93, writes: 17853.68, response time: 101.09ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 256, tps: 4637.04, reads: 63719.52, writes: 17524.14, response time: 81.56ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 256, tps: 4531.07, reads: 64440.03, writes: 18264.29, response time: 244.75ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 256, tps: 4341.90, reads: 60977.53, writes: 18246.56, response time: 89.60ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 256, tps: 4667.09, reads: 64689.23, writes: 17649.34, response time: 108.13ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 256, tps: 4528.03, reads: 61703.45, writes: 18112.13, response time: 95.64ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 256, tps: 4292.84, reads: 62441.68, writes: 18195.32, response time: 84.65ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 256, tps: 4590.15, reads: 61934.03, writes: 17339.57, response time: 81.39ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 256, tps: 4279.01, reads: 61914.15, writes: 17745.04, response time: 82.82ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 256, tps: 4367.89, reads: 61448.45, writes: 17846.55, response time: 242.42ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 256, tps: 4330.02, reads: 60636.22, writes: 17327.06, response time: 251.74ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 256, tps: 4439.95, reads: 59929.36, writes: 16753.82, response time: 112.86ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 256, tps: 4270.04, reads: 62016.61, writes: 18091.18, response time: 101.54ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 256, tps: 4556.95, reads: 63790.35, writes: 18169.81, response time: 85.69ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 256, tps: 4503.03, reads: 63032.43, writes: 18062.12, response time: 103.29ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 256, tps: 4449.09, reads: 59294.21, writes: 16788.34, response time: 119.97ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 256, tps: 4502.02, reads: 63786.31, writes: 18005.09, response time: 70.33ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 256, tps: 4295.92, reads: 62321.90, writes: 18139.68, response time: 89.49ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 256, tps: 4735.05, reads: 63689.69, writes: 17988.20, response time: 105.54ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 256, tps: 4578.92, reads: 66747.77, writes: 19235.64, response time: 58.66ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 256, tps: 4575.03, reads: 64076.45, writes: 18396.13, response time: 58.56ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 256, tps: 4320.08, reads: 59989.17, writes: 16271.32, response time: 94.42ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 256, tps: 4424.92, reads: 62363.83, writes: 18631.65, response time: 110.69ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 256, tps: 4580.09, reads: 64202.28, writes: 18369.37, response time: 243.58ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 256, tps: 4630.91, reads: 64758.70, writes: 18475.63, response time: 242.13ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 256, tps: 4232.89, reads: 59320.46, writes: 16999.56, response time: 106.72ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 256, tps: 4850.21, reads: 67917.91, writes: 19410.83, response time: 58.42ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 256, tps: 4409.00, reads: 58996.95, writes: 16615.99, response time: 238.67ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 256, tps: 4086.93, reads: 59944.96, writes: 17365.70, response time: 242.71ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 256, tps: 4399.94, reads: 61571.16, writes: 17389.76, response time: 78.12ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 256, tps: 4659.07, reads: 65215.01, writes: 18672.29, response time: 234.92ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 256, tps: 4460.00, reads: 59471.07, writes: 16995.02, response time: 254.46ms (99%), errors: 0.00, reconnects:  0.00
[  59s] threads: 256, tps: 4562.02, reads: 66878.24, writes: 19271.07, response time: 56.76ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 256, tps: 4337.98, reads: 60715.74, writes: 17291.92, response time: 96.13ms (99%), errors: 0.00, reconnects:  0.00
[  61s] threads: 256, tps: 4687.07, reads: 65586.99, writes: 18417.28, response time: 62.62ms (99%), errors: 0.00, reconnects:  0.00
[  62s] threads: 256, tps: 4343.99, reads: 60229.82, writes: 16750.95, response time: 92.88ms (99%), errors: 0.00, reconnects:  0.00
[  63s] threads: 256, tps: 4589.93, reads: 64893.05, writes: 19375.72, response time: 61.37ms (99%), errors: 0.00, reconnects:  0.00
[  64s] threads: 256, tps: 4513.07, reads: 63131.97, writes: 17943.28, response time: 79.18ms (99%), errors: 0.00, reconnects:  0.00
[  65s] threads: 256, tps: 4811.75, reads: 67346.43, writes: 18814.00, response time: 58.70ms (99%), errors: 0.00, reconnects:  0.00
[  66s] threads: 256, tps: 4334.17, reads: 59616.38, writes: 16860.67, response time: 120.90ms (99%), errors: 0.00, reconnects:  0.00
[  67s] threads: 256, tps: 4566.08, reads: 65037.16, writes: 19213.34, response time: 60.63ms (99%), errors: 0.00, reconnects:  0.00
[  68s] threads: 256, tps: 4310.93, reads: 60372.04, writes: 17312.72, response time: 96.68ms (99%), errors: 0.00, reconnects:  0.00
[  69s] threads: 256, tps: 4844.09, reads: 66789.23, writes: 18352.34, response time: 59.03ms (99%), errors: 0.00, reconnects:  0.00
[  70s] threads: 256, tps: 4325.00, reads: 60829.95, writes: 17303.99, response time: 102.61ms (99%), errors: 0.00, reconnects:  0.00
[  71s] threads: 256, tps: 4828.02, reads: 67781.28, writes: 19313.08, response time: 58.24ms (99%), errors: 0.00, reconnects:  0.00
[  72s] threads: 256, tps: 4296.86, reads: 57904.14, writes: 17182.45, response time: 99.83ms (99%), errors: 0.00, reconnects:  0.00
[  73s] threads: 256, tps: 4585.05, reads: 66941.76, writes: 18837.21, response time: 59.28ms (99%), errors: 0.00, reconnects:  0.00
[  74s] threads: 256, tps: 4334.08, reads: 60737.09, writes: 17825.32, response time: 79.97ms (99%), errors: 0.00, reconnects:  0.00
[  75s] threads: 256, tps: 4853.99, reads: 65567.85, writes: 18429.96, response time: 61.12ms (99%), errors: 0.00, reconnects:  0.00
[  76s] threads: 256, tps: 4317.01, reads: 62138.09, writes: 17268.03, response time: 107.39ms (99%), errors: 0.00, reconnects:  0.00
[  77s] threads: 256, tps: 4583.00, reads: 64626.05, writes: 18517.01, response time: 67.48ms (99%), errors: 0.00, reconnects:  0.00
[  78s] threads: 256, tps: 4340.84, reads: 57477.91, writes: 17178.37, response time: 106.08ms (99%), errors: 0.00, reconnects:  0.00
[  79s] threads: 256, tps: 4594.15, reads: 66125.19, writes: 18376.61, response time: 60.32ms (99%), errors: 0.00, reconnects:  0.00
[  80s] threads: 256, tps: 4083.01, reads: 58639.10, writes: 16440.03, response time: 99.17ms (99%), errors: 0.00, reconnects:  0.00
[  81s] threads: 256, tps: 4600.91, reads: 64646.74, writes: 19312.62, response time: 58.36ms (99%), errors: 0.00, reconnects:  0.00
[  82s] threads: 256, tps: 4327.09, reads: 60572.26, writes: 17249.36, response time: 94.11ms (99%), errors: 0.00, reconnects:  0.00
[  83s] threads: 256, tps: 4820.00, reads: 64604.00, writes: 18326.00, response time: 60.07ms (99%), errors: 0.00, reconnects:  0.00
[  84s] threads: 256, tps: 4330.00, reads: 62897.03, writes: 17316.01, response time: 89.84ms (99%), errors: 0.00, reconnects:  0.00
[  85s] threads: 256, tps: 4597.00, reads: 64720.99, writes: 18638.00, response time: 65.36ms (99%), errors: 0.00, reconnects:  0.00
[  86s] threads: 256, tps: 4305.00, reads: 60506.99, writes: 17915.00, response time: 92.43ms (99%), errors: 0.00, reconnects:  0.00
[  87s] threads: 256, tps: 4802.99, reads: 65181.90, writes: 18266.97, response time: 61.28ms (99%), errors: 0.00, reconnects:  0.00
[  88s] threads: 256, tps: 4348.00, reads: 60365.02, writes: 17398.01, response time: 115.73ms (99%), errors: 0.00, reconnects:  0.00
[  89s] threads: 256, tps: 4589.99, reads: 63416.85, writes: 18353.96, response time: 61.93ms (99%), errors: 0.00, reconnects:  0.00
[  90s] threads: 256, tps: 4039.94, reads: 59974.04, writes: 17175.73, response time: 122.58ms (99%), errors: 0.00, reconnects:  0.00
[  91s] threads: 256, tps: 4750.10, reads: 64511.33, writes: 17991.37, response time: 61.87ms (99%), errors: 0.00, reconnects:  0.00
[  92s] threads: 256, tps: 4187.00, reads: 60394.98, writes: 16827.00, response time: 273.66ms (99%), errors: 0.00, reconnects:  0.00
[  93s] threads: 256, tps: 4607.95, reads: 64580.30, writes: 18642.80, response time: 105.19ms (99%), errors: 0.00, reconnects:  0.00
[  94s] threads: 256, tps: 4330.90, reads: 58952.67, writes: 17028.62, response time: 97.29ms (99%), errors: 0.00, reconnects:  0.00
[  95s] threads: 256, tps: 4064.10, reads: 58493.51, writes: 16295.42, response time: 97.84ms (99%), errors: 0.00, reconnects:  0.00
[  96s] threads: 256, tps: 4541.02, reads: 63778.32, writes: 19091.10, response time: 69.22ms (99%), errors: 0.00, reconnects:  0.00
[  97s] threads: 256, tps: 4267.94, reads: 59608.22, writes: 17009.78, response time: 80.52ms (99%), errors: 0.00, reconnects:  0.00
[  98s] threads: 256, tps: 4765.00, reads: 66161.05, writes: 18171.01, response time: 107.74ms (99%), errors: 0.00, reconnects:  0.00
[  99s] threads: 256, tps: 4313.00, reads: 59632.04, writes: 17243.01, response time: 115.22ms (99%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 256, tps: 4588.96, reads: 64524.45, writes: 18347.84, response time: 71.78ms (99%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 256, tps: 4230.01, reads: 58193.20, writes: 17308.06, response time: 133.82ms (99%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 256, tps: 4426.95, reads: 64190.33, writes: 18332.81, response time: 73.49ms (99%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 256, tps: 4561.05, reads: 60335.62, writes: 17247.18, response time: 77.89ms (99%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 256, tps: 4518.07, reads: 65105.94, writes: 18063.26, response time: 65.40ms (99%), errors: 0.00, reconnects:  0.00
