sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 128, tps: 3319.59, reads: 48265.10, writes: 13784.32, response time: 57.86ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 128, tps: 3801.95, reads: 52343.37, writes: 14701.82, response time: 39.04ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 128, tps: 3282.04, reads: 46792.55, writes: 13491.16, response time: 84.47ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 128, tps: 3697.86, reads: 51774.08, writes: 14696.45, response time: 53.42ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 128, tps: 3441.04, reads: 48204.61, writes: 13990.18, response time: 81.10ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 128, tps: 3441.09, reads: 48173.28, writes: 13704.36, response time: 63.60ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 128, tps: 3695.99, reads: 49962.88, writes: 14349.97, response time: 40.05ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 128, tps: 3315.98, reads: 48182.67, writes: 13741.90, response time: 78.52ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 128, tps: 3620.99, reads: 49703.88, writes: 14005.97, response time: 41.21ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 128, tps: 3427.94, reads: 49012.17, writes: 14220.76, response time: 56.14ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 128, tps: 3413.00, reads: 47780.02, writes: 13641.00, response time: 57.88ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 128, tps: 3417.01, reads: 47834.17, writes: 13624.05, response time: 57.10ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 128, tps: 3525.01, reads: 49354.10, writes: 14034.03, response time: 47.25ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 128, tps: 3411.07, reads: 46981.95, writes: 13256.27, response time: 71.30ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 128, tps: 3543.97, reads: 49485.54, writes: 14175.87, response time: 45.44ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 128, tps: 3562.03, reads: 50694.45, writes: 14387.13, response time: 38.64ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 128, tps: 3408.00, reads: 46358.05, writes: 13493.01, response time: 63.26ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 128, tps: 3439.98, reads: 48638.76, writes: 13759.93, response time: 52.54ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 128, tps: 3433.00, reads: 48306.04, writes: 13736.01, response time: 57.17ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 3378.92, reads: 47994.92, writes: 14011.69, response time: 47.82ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 128, tps: 3540.09, reads: 49580.21, writes: 14151.35, response time: 68.05ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 128, tps: 3529.93, reads: 49420.03, writes: 14140.72, response time: 40.81ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 128, tps: 3464.98, reads: 48458.78, writes: 13788.94, response time: 56.19ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 128, tps: 3622.01, reads: 50757.18, writes: 14549.05, response time: 65.32ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 128, tps: 3380.04, reads: 47290.59, writes: 13456.17, response time: 52.64ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 128, tps: 3637.04, reads: 49609.50, writes: 14110.14, response time: 46.05ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 128, tps: 3042.00, reads: 43898.97, writes: 12495.99, response time: 244.68ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 128, tps: 3541.94, reads: 49581.20, writes: 13958.77, response time: 52.15ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 128, tps: 3299.05, reads: 46190.71, writes: 13237.20, response time: 81.86ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 3558.00, reads: 49713.01, writes: 14095.00, response time: 42.08ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 128, tps: 3424.99, reads: 46389.82, writes: 13676.95, response time: 91.55ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 128, tps: 3575.01, reads: 51733.16, writes: 14752.05, response time: 48.03ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 128, tps: 3524.94, reads: 47674.21, writes: 13647.77, response time: 59.26ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 128, tps: 3553.99, reads: 51438.79, writes: 14723.94, response time: 44.26ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 128, tps: 3468.08, reads: 47670.14, writes: 13364.32, response time: 80.28ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 128, tps: 3432.98, reads: 48837.76, writes: 13812.93, response time: 62.86ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 128, tps: 3305.96, reads: 46369.47, writes: 13625.84, response time: 107.04ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 128, tps: 3548.96, reads: 49706.46, writes: 14224.84, response time: 50.03ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 128, tps: 3278.02, reads: 45874.31, writes: 13100.09, response time: 75.16ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 3683.07, reads: 50443.93, writes: 14232.26, response time: 54.61ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 128, tps: 3431.99, reads: 49124.91, writes: 13902.97, response time: 87.14ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 128, tps: 3512.01, reads: 48396.16, writes: 13873.05, response time: 68.24ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 128, tps: 3280.99, reads: 46102.88, writes: 13123.97, response time: 100.85ms (99%), errors: 0.00, reconnects:  0.00
