sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 2
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 2, tps: 101.98, reads: 1445.65, writes: 407.90, response time: 30.07ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 2, tps: 101.00, reads: 1415.02, writes: 407.01, response time: 31.95ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 2, tps: 106.00, reads: 1477.00, writes: 421.00, response time: 29.77ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 2, tps: 105.00, reads: 1468.95, writes: 419.99, response time: 28.25ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 2, tps: 103.01, reads: 1459.08, writes: 415.02, response time: 30.49ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 2, tps: 105.99, reads: 1483.92, writes: 427.98, response time: 29.00ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 2, tps: 105.01, reads: 1467.07, writes: 416.02, response time: 32.79ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 2, tps: 103.00, reads: 1444.94, writes: 415.98, response time: 28.43ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 2, tps: 106.00, reads: 1460.01, writes: 417.00, response time: 30.54ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 2, tps: 92.00, reads: 1311.03, writes: 372.01, response time: 28.27ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 2, tps: 100.99, reads: 1399.91, writes: 399.97, response time: 75.91ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 2, tps: 102.00, reads: 1440.04, writes: 408.01, response time: 31.82ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 2, tps: 100.00, reads: 1389.01, writes: 400.00, response time: 28.81ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 2, tps: 104.00, reads: 1466.02, writes: 416.01, response time: 27.26ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 2, tps: 104.00, reads: 1458.00, writes: 419.00, response time: 29.19ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 2, tps: 106.00, reads: 1477.96, writes: 424.99, response time: 29.82ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 2, tps: 104.00, reads: 1457.03, writes: 412.01, response time: 28.30ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 2, tps: 106.00, reads: 1477.07, writes: 427.02, response time: 31.75ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 2, tps: 103.99, reads: 1452.91, writes: 412.97, response time: 27.91ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 2, tps: 104.00, reads: 1472.07, writes: 417.02, response time: 29.98ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 2, tps: 103.00, reads: 1425.93, writes: 410.98, response time: 40.94ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 2, tps: 101.00, reads: 1431.05, writes: 408.01, response time: 28.35ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 2, tps: 108.00, reads: 1489.02, writes: 428.01, response time: 26.55ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 2, tps: 103.00, reads: 1450.94, writes: 411.98, response time: 31.71ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 2, tps: 91.00, reads: 1266.02, writes: 364.00, response time: 32.30ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 2, tps: 104.00, reads: 1465.98, writes: 419.99, response time: 28.99ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 2, tps: 94.00, reads: 1324.00, writes: 376.00, response time: 43.12ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 2, tps: 107.00, reads: 1486.06, writes: 424.02, response time: 32.33ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 2, tps: 104.00, reads: 1471.94, writes: 422.98, response time: 29.50ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 2, tps: 102.00, reads: 1428.00, writes: 407.00, response time: 28.40ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 2, tps: 106.00, reads: 1479.01, writes: 418.00, response time: 27.54ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 2, tps: 103.00, reads: 1436.99, writes: 416.00, response time: 30.63ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 2, tps: 103.00, reads: 1441.05, writes: 410.01, response time: 28.85ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 2, tps: 102.00, reads: 1430.97, writes: 405.99, response time: 27.56ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 2, tps: 101.00, reads: 1413.99, writes: 408.00, response time: 31.61ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 2, tps: 101.00, reads: 1402.06, writes: 400.02, response time: 28.39ms (99%), errors: 0.00, reconnects:  0.00
