

1,40.99,573.89,163.97,35.48,0.00,0.00
1,44.00,629.97,177.99,34.91,0.00,0.00
1,50.00,692.02,198.01,36.19,0.00,0.00
1,47.00,665.98,191.99,32.14,0.00,0.00
1,48.00,658.99,188.00,33.75,0.00,0.00
1,51.00,727.01,206.00,28.95,0.00,0.00
1,50.00,687.99,198.00,28.75,0.00,0.00
1,52.00,730.01,208.00,30.25,0.00,0.00
1,48.00,682.00,196.00,30.82,0.00,0.00
1,54.00,756.00,213.00,25.56,0.00,0.00
1,51.00,699.99,203.00,27.32,0.00,0.00
1,49.00,700.01,198.00,39.98,0.00,0.00
1,52.00,726.99,206.00,25.27,0.00,0.00
1,54.00,757.01,217.00,25.62,0.00,0.00
1,52.00,717.99,207.00,30.99,0.00,0.00
1,51.00,711.01,204.00,28.16,0.00,0.00
1,51.00,717.00,204.00,27.34,0.00,0.00
1,52.00,736.00,208.00,28.55,0.00,0.00
1,50.00,698.99,200.00,29.40,0.00,0.00
1,51.00,713.01,204.00,27.05,0.00,0.00
1,51.00,709.01,204.00,26.92,0.00,0.00
1,52.00,733.99,208.00,26.24,0.00,0.00
1,50.00,701.99,200.00,34.91,0.00,0.00
1,51.00,712.00,204.00,26.48,0.00,0.00
1,51.00,717.01,208.00,27.62,0.00,0.00
1,51.00,713.02,200.00,27.92,0.00,0.00
1,50.00,687.98,199.99,37.21,0.00,0.00
1,51.00,713.00,204.00,29.64,0.00,0.00
1,50.00,704.00,200.00,37.17,0.00,0.00
1,50.00,698.00,200.00,27.90,0.00,0.00
1,48.00,684.00,196.00,28.29,0.00,0.00
1,50.00,698.00,196.00,28.39,0.00,0.00
1,51.00,716.00,206.00,29.82,0.00,0.00
1,52.00,728.00,210.00,26.44,0.00,0.00
1,52.00,727.00,204.00,29.40,0.00,0.00
1,51.00,714.99,208.00,28.01,0.00,0.00
1,48.00,666.00,188.00,30.86,0.00,0.00
1,51.00,718.00,204.00,30.27,0.00,0.00
1,50.00,702.02,203.01,30.25,0.00,0.00
1,51.00,713.98,204.99,30.76,0.00,0.00
1,53.00,742.00,212.00,28.37,0.00,0.00
1,52.00,728.01,205.00,27.67,0.00,0.00
1,53.00,738.99,211.00,27.87,0.00,0.00
1,51.00,716.99,208.00,27.35,0.00,0.00
1,52.00,716.02,204.01,28.39,0.00,0.00
1,54.00,767.97,217.99,25.52,0.00,0.00
1,52.00,727.03,206.01,28.75,0.00,0.00
1,52.00,714.98,207.99,30.49,0.00,0.00
1,53.00,756.02,212.01,25.92,0.00,0.00
1,52.00,713.96,207.99,26.99,0.00,0.00
1,48.00,682.03,192.01,33.52,0.00,0.00
1,51.00,714.99,204.00,26.19,0.00,0.00
1,50.00,696.01,200.00,27.91,0.00,0.00
1,52.00,721.00,208.00,26.03,0.00,0.00
1,52.00,742.01,208.00,26.18,0.00,0.00
1,53.00,731.98,211.99,26.47,0.00,0.00
1,54.00,761.00,216.00,26.33,0.00,0.00
1,49.00,677.00,196.00,27.96,0.00,0.00
1,53.00,755.02,212.00,27.01,0.00,0.00
1,50.00,694.00,200.00,30.34,0.00,0.00
1,52.00,721.01,208.00,27.94,0.00,0.00
1,51.00,718.99,204.00,25.00,0.00,0.00
1,49.00,695.01,200.00,26.25,0.00,0.00
1,50.00,694.97,195.99,36.90,0.00,0.00
1,51.00,709.01,204.00,26.55,0.00,0.00
1,50.00,706.00,200.00,32.00,0.00,0.00
1,49.00,690.03,198.01,72.32,0.00,0.00
1,49.00,685.96,196.99,28.95,0.00,0.00
1,53.00,738.03,209.01,26.58,0.00,0.00
1,51.00,713.97,203.99,27.88,0.00,0.00
1,53.00,743.01,212.00,26.67,0.00,0.00
1,49.00,685.99,196.00,32.08,0.00,0.00
1,51.00,717.00,208.00,26.48,0.00,0.00
1,53.00,740.00,208.00,27.81,0.00,0.00
1,52.00,716.00,208.00,28.25,0.00,0.00
1,52.00,742.00,212.00,27.90,0.00,0.00
1,51.00,714.00,204.00,29.87,0.00,0.00
1,50.00,692.01,196.00,32.44,0.00,0.00
1,50.00,703.99,200.00,53.19,0.00,0.00
1,52.00,729.00,208.00,26.53,0.00,0.00
1,49.00,685.00,196.00,29.75,0.00,0.00
1,49.00,687.00,196.00,30.20,0.00,0.00
1,48.00,675.00,196.00,45.69,0.00,0.00
1,40.00,560.03,160.01,233.51,0.00,0.00
1,48.00,671.97,191.99,74.87,0.00,0.00
1,50.00,699.00,196.00,26.44,0.00,0.00
1,51.00,715.00,208.00,28.67,0.00,0.00
1,52.00,728.00,208.00,28.98,0.00,0.00
1,53.00,728.00,208.00,27.50,0.00,0.00
1,49.00,695.01,196.00,31.14,0.00,0.00
1,51.00,718.01,204.00,27.88,0.00,0.00
1,52.00,728.98,207.99,25.56,0.00,0.00
1,51.00,714.00,208.00,26.91,0.00,0.00
1,53.00,735.00,208.00,28.88,0.00,0.00
1,52.00,724.00,208.00,29.30,0.00,0.00
1,50.00,711.00,200.00,30.27,0.00,0.00
1,52.00,722.00,208.00,27.15,0.00,0.00
1,52.00,724.02,208.01,30.10,0.00,0.00
1,49.00,695.98,199.99,72.99,0.00,0.00
1,49.00,675.00,192.00,33.36,0.00,0.00
1,49.00,696.99,200.00,31.21,0.00,0.00
1,54.00,749.04,212.01,25.59,0.00,0.00
