sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 128, tps: 1870.77, reads: 27366.59, writes: 7489.07, response time: 122.07ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 128, tps: 2130.92, reads: 30425.83, writes: 8880.66, response time: 111.38ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 128, tps: 2111.02, reads: 29432.34, writes: 8282.10, response time: 117.58ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 128, tps: 2083.00, reads: 29304.05, writes: 8588.02, response time: 117.30ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 128, tps: 2106.02, reads: 29459.21, writes: 8371.06, response time: 115.32ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 128, tps: 2096.92, reads: 29362.85, writes: 8404.67, response time: 114.39ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 128, tps: 2090.12, reads: 29268.75, writes: 8390.50, response time: 116.88ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 128, tps: 2107.95, reads: 29495.28, writes: 8346.80, response time: 116.71ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 128, tps: 2166.86, reads: 29187.16, writes: 8453.47, response time: 115.28ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 128, tps: 2111.14, reads: 29546.92, writes: 8354.54, response time: 116.32ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 128, tps: 1978.94, reads: 28888.09, writes: 8310.74, response time: 118.40ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 128, tps: 2223.11, reads: 29841.47, writes: 8437.42, response time: 111.82ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 128, tps: 2079.99, reads: 30036.84, writes: 8414.96, response time: 115.56ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 128, tps: 2098.02, reads: 28489.26, writes: 8378.08, response time: 116.05ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 128, tps: 2036.96, reads: 28845.38, writes: 8086.83, response time: 117.48ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 128, tps: 2060.05, reads: 28963.67, writes: 8433.20, response time: 112.96ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 128, tps: 2067.99, reads: 29212.92, writes: 8077.98, response time: 118.68ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 128, tps: 2077.95, reads: 28514.25, writes: 8372.78, response time: 115.98ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 128, tps: 2085.06, reads: 29098.77, writes: 8285.22, response time: 114.32ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 2002.93, reads: 29223.94, writes: 8377.70, response time: 113.20ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 128, tps: 2111.08, reads: 29319.08, writes: 8209.30, response time: 113.81ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 128, tps: 2099.00, reads: 28730.04, writes: 8287.01, response time: 114.87ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 128, tps: 2036.94, reads: 29390.07, writes: 8477.73, response time: 115.73ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 128, tps: 2066.06, reads: 28590.88, writes: 7980.24, response time: 117.23ms (99%), errors: 0.00, reconnects:  0.00
