sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 4, tps: 244.96, reads: 3485.40, writes: 995.83, response time: 26.19ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 4, tps: 257.00, reads: 3568.02, writes: 1012.00, response time: 21.54ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 4, tps: 247.00, reads: 3487.98, writes: 999.99, response time: 31.67ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 4, tps: 255.01, reads: 3570.21, writes: 1024.06, response time: 20.75ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 4, tps: 243.99, reads: 3396.82, writes: 959.95, response time: 32.83ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 4, tps: 255.00, reads: 3555.99, writes: 1022.00, response time: 21.32ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 4, tps: 248.00, reads: 3474.04, writes: 994.01, response time: 25.06ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 4, tps: 259.00, reads: 3649.01, writes: 1040.00, response time: 20.97ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 4, tps: 255.00, reads: 3575.99, writes: 1020.00, response time: 24.91ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 4, tps: 257.00, reads: 3569.01, writes: 1020.00, response time: 20.48ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 4, tps: 256.00, reads: 3602.99, writes: 1025.00, response time: 23.95ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 4, tps: 253.00, reads: 3532.00, writes: 1015.00, response time: 23.49ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 4, tps: 251.00, reads: 3517.00, writes: 1004.00, response time: 23.16ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 4, tps: 265.00, reads: 3673.02, writes: 1056.01, response time: 19.36ms (99%), errors: 0.00, reconnects:  0.00
