sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1024
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 1024, tps: 5243.96, reads: 81791.08, writes: 20986.73, response time: 227.72ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1024, tps: 5738.18, reads: 80447.58, writes: 24989.80, response time: 188.52ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1024, tps: 5742.89, reads: 85016.42, writes: 22063.59, response time: 222.86ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1024, tps: 6219.02, reads: 78241.21, writes: 23904.06, response time: 214.61ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1024, tps: 5697.00, reads: 85563.98, writes: 24069.99, response time: 229.22ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1024, tps: 5219.04, reads: 77128.61, writes: 22546.18, response time: 265.43ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1024, tps: 6230.99, reads: 86018.91, writes: 22468.98, response time: 220.80ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1024, tps: 5278.91, reads: 75215.68, writes: 24188.57, response time: 242.27ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1024, tps: 6314.06, reads: 86952.88, writes: 22392.23, response time: 214.16ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1024, tps: 5673.06, reads: 77491.79, writes: 21861.22, response time: 248.07ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1024, tps: 6255.99, reads: 81876.92, writes: 25237.97, response time: 233.51ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1024, tps: 5633.02, reads: 82795.26, writes: 22354.07, response time: 217.85ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1024, tps: 6109.93, reads: 87817.06, writes: 25548.73, response time: 213.97ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1024, tps: 5807.05, reads: 80825.75, writes: 23649.22, response time: 265.04ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1024, tps: 5993.97, reads: 84630.59, writes: 24410.88, response time: 257.76ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1024, tps: 5598.04, reads: 77408.53, writes: 23058.16, response time: 256.76ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1024, tps: 5848.84, reads: 84205.67, writes: 21462.41, response time: 243.87ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1024, tps: 5663.13, reads: 75300.78, writes: 23850.56, response time: 235.69ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1024, tps: 6117.02, reads: 87974.26, writes: 22713.07, response time: 219.68ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1024, tps: 5539.90, reads: 79430.60, writes: 25441.55, response time: 224.53ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1024, tps: 6272.03, reads: 87024.42, writes: 21785.11, response time: 272.27ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1024, tps: 5508.04, reads: 74969.58, writes: 24409.19, response time: 291.07ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1024, tps: 6207.02, reads: 85535.28, writes: 22561.07, response time: 258.07ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1024, tps: 5250.00, reads: 78825.06, writes: 23588.02, response time: 219.22ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 1024, tps: 6238.92, reads: 82999.90, writes: 22232.71, response time: 215.51ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 1024, tps: 5144.96, reads: 76399.46, writes: 24495.83, response time: 228.60ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 1024, tps: 6151.93, reads: 85429.08, writes: 22659.76, response time: 221.07ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 1024, tps: 6145.19, reads: 77076.44, writes: 22472.71, response time: 233.79ms (99%), errors: 0.00, reconnects:  0.00
