sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 2
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 2, tps: 64.98, reads: 919.77, writes: 259.94, response time: 40.40ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 2, tps: 70.00, reads: 995.00, writes: 280.00, response time: 40.89ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 2, tps: 64.00, reads: 899.01, writes: 260.00, response time: 42.99ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 2, tps: 69.00, reads: 966.01, writes: 274.00, response time: 40.74ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 2, tps: 67.00, reads: 926.99, writes: 266.00, response time: 42.60ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 2, tps: 68.00, reads: 957.99, writes: 272.00, response time: 40.56ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 2, tps: 69.00, reads: 954.99, writes: 276.00, response time: 38.23ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 2, tps: 70.00, reads: 995.01, writes: 281.00, response time: 37.46ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 2, tps: 68.00, reads: 927.99, writes: 271.00, response time: 42.97ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 2, tps: 65.00, reads: 928.99, writes: 260.00, response time: 45.66ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 2, tps: 68.00, reads: 957.03, writes: 273.01, response time: 41.70ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 2, tps: 67.00, reads: 939.02, writes: 271.01, response time: 42.32ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 2, tps: 67.00, reads: 909.99, writes: 264.00, response time: 41.90ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 2, tps: 67.00, reads: 965.99, writes: 276.00, response time: 39.49ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 2, tps: 69.00, reads: 963.00, writes: 272.00, response time: 40.46ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 2, tps: 70.00, reads: 967.00, writes: 276.00, response time: 38.31ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 2, tps: 66.00, reads: 926.02, writes: 264.01, response time: 43.03ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 2, tps: 67.00, reads: 941.98, writes: 269.99, response time: 42.83ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 2, tps: 68.00, reads: 962.00, writes: 274.00, response time: 38.83ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 2, tps: 70.00, reads: 963.01, writes: 276.00, response time: 40.94ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 2, tps: 66.00, reads: 941.00, writes: 268.00, response time: 41.13ms (99%), errors: 0.00, reconnects:  0.00
