sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 64, tps: 1143.83, reads: 16338.64, writes: 4575.34, response time: 60.68ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 64, tps: 1137.98, reads: 16016.75, writes: 4551.93, response time: 62.75ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 64, tps: 1083.97, reads: 15661.61, writes: 4591.88, response time: 63.83ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 64, tps: 1142.02, reads: 15988.22, writes: 4464.06, response time: 67.65ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 64, tps: 1073.03, reads: 15021.48, writes: 4358.14, response time: 88.43ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 64, tps: 1146.98, reads: 15762.72, writes: 4369.92, response time: 62.26ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 64, tps: 1140.02, reads: 15483.30, writes: 4566.09, response time: 72.25ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 64, tps: 1078.95, reads: 15872.28, writes: 4554.79, response time: 65.91ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 64, tps: 1147.03, reads: 15643.47, writes: 4343.13, response time: 65.83ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 64, tps: 1079.99, reads: 15538.92, writes: 4571.98, response time: 65.91ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 64, tps: 1146.01, reads: 15919.20, writes: 4334.06, response time: 63.77ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 64, tps: 1142.01, reads: 15410.12, writes: 4566.04, response time: 62.56ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 64, tps: 1069.97, reads: 15684.59, writes: 4533.88, response time: 62.96ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 64, tps: 1146.03, reads: 15775.40, writes: 4330.11, response time: 70.50ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 64, tps: 1084.99, reads: 15458.79, writes: 4560.94, response time: 65.43ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 64, tps: 1132.02, reads: 15842.23, writes: 4555.07, response time: 105.01ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 64, tps: 1141.00, reads: 15323.03, writes: 4316.01, response time: 66.14ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 64, tps: 1080.96, reads: 15786.45, writes: 4496.84, response time: 65.89ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 64, tps: 1144.04, reads: 15746.50, writes: 4403.14, response time: 60.66ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 64, tps: 1149.00, reads: 15464.05, writes: 4596.01, response time: 63.89ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 64, tps: 1078.97, reads: 16001.61, writes: 4526.89, response time: 69.76ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 64, tps: 1143.01, reads: 15713.11, writes: 4365.03, response time: 68.01ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 64, tps: 1090.98, reads: 15294.77, writes: 4531.93, response time: 114.66ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 64, tps: 1118.01, reads: 15920.14, writes: 4556.04, response time: 109.63ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 64, tps: 1146.02, reads: 15839.25, writes: 4328.07, response time: 68.87ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 64, tps: 1071.94, reads: 15212.14, writes: 4543.74, response time: 105.35ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 64, tps: 1145.05, reads: 15874.68, writes: 4326.18, response time: 62.64ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 64, tps: 1135.02, reads: 15630.31, writes: 4545.09, response time: 64.48ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 64, tps: 1074.97, reads: 15320.52, writes: 4296.86, response time: 109.01ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 64, tps: 1139.01, reads: 15418.18, writes: 4556.05, response time: 66.58ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 64, tps: 1079.00, reads: 15779.01, writes: 4561.00, response time: 67.36ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 64, tps: 1138.02, reads: 15714.31, writes: 4303.09, response time: 76.75ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 64, tps: 1079.94, reads: 15337.21, writes: 4571.76, response time: 62.49ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 64, tps: 1132.03, reads: 15722.45, writes: 4278.12, response time: 110.22ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 64, tps: 1151.97, reads: 15468.58, writes: 4605.88, response time: 64.73ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 64, tps: 1075.00, reads: 15835.02, writes: 4551.01, response time: 106.49ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 64, tps: 1141.03, reads: 15974.40, writes: 4569.11, response time: 66.16ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 64, tps: 1146.99, reads: 16050.89, writes: 4422.97, response time: 68.24ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 64, tps: 1140.03, reads: 15713.47, writes: 4469.13, response time: 65.36ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 64, tps: 1081.95, reads: 15401.23, writes: 4583.77, response time: 69.16ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 64, tps: 1137.03, reads: 15918.47, writes: 4546.13, response time: 62.30ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 64, tps: 1133.00, reads: 15813.93, writes: 4295.98, response time: 107.29ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 64, tps: 1140.03, reads: 15296.36, writes: 4542.11, response time: 102.34ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 64, tps: 1070.98, reads: 15705.65, writes: 4536.90, response time: 102.86ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 64, tps: 1145.00, reads: 16004.01, writes: 4358.00, response time: 61.74ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 64, tps: 1144.02, reads: 15930.29, writes: 4546.08, response time: 61.63ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 64, tps: 1144.98, reads: 15741.79, writes: 4578.94, response time: 63.41ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 64, tps: 1151.00, reads: 16174.98, writes: 4603.99, response time: 62.49ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 64, tps: 1083.97, reads: 15514.53, writes: 4591.86, response time: 75.82ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 64, tps: 1137.03, reads: 15907.43, writes: 4387.12, response time: 68.42ms (99%), errors: 0.00, reconnects:  0.00
