sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 256
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 256, tps: 1024.84, reads: 17931.27, writes: 5123.22, response time: 236.12ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 256, tps: 1537.03, reads: 18726.37, writes: 5141.10, response time: 206.42ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 256, tps: 1283.00, reads: 18247.01, writes: 5145.00, response time: 205.99ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 256, tps: 1301.99, reads: 18435.79, writes: 5197.94, response time: 215.58ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 256, tps: 1288.99, reads: 18588.92, writes: 5135.98, response time: 213.46ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 256, tps: 1274.99, reads: 19122.86, writes: 5135.96, response time: 203.42ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 256, tps: 1296.01, reads: 17734.10, writes: 5167.03, response time: 211.74ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 256, tps: 1299.02, reads: 18231.34, writes: 5181.10, response time: 214.80ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 256, tps: 1282.97, reads: 18447.59, writes: 5127.88, response time: 201.78ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 256, tps: 1294.97, reads: 17857.63, writes: 5197.89, response time: 211.23ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 256, tps: 1292.01, reads: 18037.15, writes: 5158.04, response time: 207.41ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 256, tps: 1283.02, reads: 17963.26, writes: 5140.07, response time: 209.60ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 256, tps: 1293.00, reads: 18071.00, writes: 5160.00, response time: 232.12ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 256, tps: 1282.99, reads: 18188.89, writes: 5128.97, response time: 208.59ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 256, tps: 1277.01, reads: 18295.19, writes: 5170.05, response time: 204.09ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 256, tps: 1284.98, reads: 18036.66, writes: 5226.90, response time: 213.91ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 256, tps: 1338.03, reads: 17680.45, writes: 5492.14, response time: 232.61ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 256, tps: 1348.01, reads: 18392.20, writes: 5277.06, response time: 233.51ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 256, tps: 1328.94, reads: 19018.12, writes: 5432.75, response time: 232.19ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 256, tps: 1362.06, reads: 18891.87, writes: 5425.25, response time: 222.99ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 256, tps: 1346.97, reads: 18995.54, writes: 5428.87, response time: 225.21ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 256, tps: 1346.99, reads: 18752.85, writes: 5299.96, response time: 221.53ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 256, tps: 1440.02, reads: 20036.28, writes: 5789.08, response time: 209.35ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 256, tps: 1306.99, reads: 18708.93, writes: 5302.98, response time: 219.55ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 256, tps: 1451.03, reads: 19641.39, writes: 5674.11, response time: 210.29ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 256, tps: 1348.00, reads: 18838.97, writes: 5315.99, response time: 229.36ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 256, tps: 1339.98, reads: 18739.68, writes: 5430.91, response time: 221.93ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 256, tps: 1379.95, reads: 19893.22, writes: 5652.78, response time: 213.20ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 256, tps: 1363.03, reads: 19095.45, writes: 5433.13, response time: 231.84ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 256, tps: 1378.03, reads: 19163.40, writes: 5489.11, response time: 219.16ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 256, tps: 1430.02, reads: 19493.27, writes: 5590.08, response time: 216.03ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 256, tps: 1344.98, reads: 19596.70, writes: 5566.91, response time: 209.22ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 256, tps: 1409.00, reads: 19126.99, writes: 5519.00, response time: 219.94ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 256, tps: 1343.02, reads: 19252.31, writes: 5431.09, response time: 231.84ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 256, tps: 1350.96, reads: 18693.51, writes: 5361.86, response time: 225.14ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 256, tps: 1344.03, reads: 19133.39, writes: 5419.11, response time: 226.09ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 256, tps: 1396.98, reads: 19109.69, writes: 5494.91, response time: 221.73ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 256, tps: 1272.01, reads: 18118.10, writes: 5214.03, response time: 231.98ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 256, tps: 1374.99, reads: 18964.90, writes: 5406.97, response time: 232.26ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 256, tps: 1309.03, reads: 18437.42, writes: 5236.12, response time: 226.76ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 256, tps: 1354.98, reads: 19194.74, writes: 5483.92, response time: 215.45ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 256, tps: 1315.00, reads: 18445.97, writes: 5302.99, response time: 231.29ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 256, tps: 1397.99, reads: 19657.82, writes: 5537.95, response time: 217.59ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 256, tps: 1338.97, reads: 18732.64, writes: 5442.90, response time: 221.20ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 256, tps: 1363.06, reads: 19044.88, writes: 5416.25, response time: 225.21ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 256, tps: 1334.97, reads: 18808.64, writes: 5366.90, response time: 222.13ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 256, tps: 1356.02, reads: 18620.22, writes: 5351.06, response time: 224.74ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 256, tps: 1371.00, reads: 19369.03, writes: 5520.01, response time: 221.60ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 256, tps: 1361.97, reads: 18961.58, writes: 5368.88, response time: 227.51ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 256, tps: 1361.04, reads: 18742.48, writes: 5387.14, response time: 223.60ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 256, tps: 1358.96, reads: 19091.49, writes: 5424.86, response time: 221.33ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 256, tps: 1307.00, reads: 18820.93, writes: 5407.98, response time: 234.99ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 256, tps: 1388.02, reads: 19516.21, writes: 5560.06, response time: 214.74ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 256, tps: 1348.00, reads: 18572.02, writes: 5304.00, response time: 231.77ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 256, tps: 1326.00, reads: 18758.07, writes: 5425.02, response time: 228.60ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 256, tps: 1363.99, reads: 18873.82, writes: 5309.95, response time: 234.07ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 256, tps: 1320.01, reads: 18607.09, writes: 5347.03, response time: 225.34ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 256, tps: 1358.02, reads: 18971.30, writes: 5356.09, response time: 219.29ms (99%), errors: 0.00, reconnects:  0.00
[  59s] threads: 256, tps: 1331.98, reads: 18613.65, writes: 5359.90, response time: 227.99ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 256, tps: 1375.98, reads: 19001.77, writes: 5448.93, response time: 225.75ms (99%), errors: 0.00, reconnects:  0.00
[  61s] threads: 256, tps: 1333.04, reads: 19293.63, writes: 5478.18, response time: 241.40ms (99%), errors: 0.00, reconnects:  0.00
[  62s] threads: 256, tps: 1417.94, reads: 19241.15, writes: 5519.76, response time: 220.21ms (99%), errors: 0.00, reconnects:  0.00
[  63s] threads: 256, tps: 1377.98, reads: 19516.68, writes: 5582.91, response time: 220.14ms (99%), errors: 0.00, reconnects:  0.00
[  64s] threads: 256, tps: 1384.05, reads: 19337.65, writes: 5565.19, response time: 215.51ms (99%), errors: 0.00, reconnects:  0.00
[  65s] threads: 256, tps: 1364.98, reads: 19205.76, writes: 5482.93, response time: 219.55ms (99%), errors: 0.00, reconnects:  0.00
[  66s] threads: 256, tps: 1355.98, reads: 19074.74, writes: 5413.92, response time: 216.68ms (99%), errors: 0.00, reconnects:  0.00
[  67s] threads: 256, tps: 1400.06, reads: 19162.83, writes: 5463.24, response time: 219.55ms (99%), errors: 0.00, reconnects:  0.00
[  68s] threads: 256, tps: 1346.96, reads: 18880.41, writes: 5353.83, response time: 226.09ms (99%), errors: 0.00, reconnects:  0.00
[  69s] threads: 256, tps: 1329.05, reads: 18763.77, writes: 5410.22, response time: 220.54ms (99%), errors: 0.00, reconnects:  0.00
[  70s] threads: 256, tps: 1339.97, reads: 19030.58, writes: 5450.88, response time: 226.83ms (99%), errors: 0.00, reconnects:  0.00
[  71s] threads: 256, tps: 1347.03, reads: 18655.44, writes: 5280.12, response time: 223.46ms (99%), errors: 0.00, reconnects:  0.00
[  72s] threads: 256, tps: 1344.97, reads: 18625.65, writes: 5391.90, response time: 226.22ms (99%), errors: 0.00, reconnects:  0.00
[  73s] threads: 256, tps: 1350.02, reads: 19177.26, writes: 5394.07, response time: 223.46ms (99%), errors: 0.00, reconnects:  0.00
[  74s] threads: 256, tps: 1361.00, reads: 19201.07, writes: 5493.02, response time: 219.94ms (99%), errors: 0.00, reconnects:  0.00
[  75s] threads: 256, tps: 1400.00, reads: 19105.06, writes: 5474.02, response time: 227.51ms (99%), errors: 0.00, reconnects:  0.00
[  76s] threads: 256, tps: 1323.00, reads: 18403.97, writes: 5294.99, response time: 222.46ms (99%), errors: 0.00, reconnects:  0.00
[  77s] threads: 256, tps: 1310.00, reads: 18883.95, writes: 5394.99, response time: 231.70ms (99%), errors: 0.00, reconnects:  0.00
[  78s] threads: 256, tps: 1386.01, reads: 19147.09, writes: 5473.02, response time: 219.81ms (99%), errors: 0.00, reconnects:  0.00
[  79s] threads: 256, tps: 1356.98, reads: 18993.78, writes: 5369.94, response time: 219.16ms (99%), errors: 0.00, reconnects:  0.00
[  80s] threads: 256, tps: 1334.01, reads: 18596.14, writes: 5381.04, response time: 224.20ms (99%), errors: 0.00, reconnects:  0.00
[  81s] threads: 256, tps: 1317.00, reads: 18999.05, writes: 5406.01, response time: 224.33ms (99%), errors: 0.00, reconnects:  0.00
