sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 8
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 8, tps: 302.94, reads: 4337.18, writes: 1227.77, response time: 39.50ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 8, tps: 323.01, reads: 4486.14, writes: 1280.04, response time: 37.67ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 8, tps: 306.00, reads: 4300.02, writes: 1230.01, response time: 42.03ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 8, tps: 308.99, reads: 4343.85, writes: 1234.96, response time: 47.29ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 8, tps: 313.01, reads: 4368.13, writes: 1250.04, response time: 37.52ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 8, tps: 311.00, reads: 4342.98, writes: 1249.00, response time: 37.21ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 8, tps: 312.00, reads: 4393.94, writes: 1244.98, response time: 39.64ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 8, tps: 316.00, reads: 4430.95, writes: 1268.99, response time: 39.23ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 8, tps: 316.00, reads: 4424.02, writes: 1261.01, response time: 38.53ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 8, tps: 308.01, reads: 4275.21, writes: 1224.06, response time: 44.82ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 8, tps: 311.98, reads: 4405.78, writes: 1257.94, response time: 45.21ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 8, tps: 310.00, reads: 4347.01, writes: 1235.00, response time: 40.42ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 8, tps: 318.01, reads: 4436.09, writes: 1276.02, response time: 40.15ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 8, tps: 319.00, reads: 4441.98, writes: 1268.99, response time: 48.17ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 8, tps: 316.99, reads: 4429.92, writes: 1262.98, response time: 43.68ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 8, tps: 305.00, reads: 4269.01, writes: 1224.00, response time: 52.23ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 8, tps: 322.99, reads: 4540.91, writes: 1288.97, response time: 40.95ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 8, tps: 309.01, reads: 4339.20, writes: 1240.06, response time: 37.32ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 8, tps: 318.00, reads: 4437.00, writes: 1275.00, response time: 40.73ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 8, tps: 309.99, reads: 4331.90, writes: 1236.97, response time: 47.47ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 8, tps: 321.99, reads: 4504.91, writes: 1285.97, response time: 35.85ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 8, tps: 299.00, reads: 4227.06, writes: 1218.02, response time: 42.61ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 8, tps: 322.00, reads: 4505.07, writes: 1283.02, response time: 39.80ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 8, tps: 312.00, reads: 4329.93, writes: 1233.98, response time: 41.00ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 8, tps: 322.01, reads: 4508.14, writes: 1287.04, response time: 38.25ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 8, tps: 294.00, reads: 4130.95, writes: 1175.99, response time: 39.78ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 8, tps: 322.01, reads: 4514.15, writes: 1295.04, response time: 39.34ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 8, tps: 305.99, reads: 4247.82, writes: 1214.95, response time: 39.51ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 8, tps: 324.00, reads: 4553.97, writes: 1298.99, response time: 38.94ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 8, tps: 309.00, reads: 4348.98, writes: 1236.99, response time: 38.04ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 8, tps: 321.01, reads: 4494.14, writes: 1291.04, response time: 39.20ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 8, tps: 309.99, reads: 4337.88, writes: 1241.97, response time: 38.81ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 8, tps: 321.00, reads: 4477.02, writes: 1273.00, response time: 37.73ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 8, tps: 313.01, reads: 4398.09, writes: 1262.03, response time: 38.46ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 8, tps: 327.99, reads: 4583.88, writes: 1302.97, response time: 35.79ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 8, tps: 314.01, reads: 4415.14, writes: 1252.04, response time: 39.38ms (99%), errors: 0.00, reconnects:  0.00
