sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 4, tps: 140.96, reads: 2003.50, writes: 565.86, response time: 41.81ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 4, tps: 144.00, reads: 2029.00, writes: 578.00, response time: 42.74ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 4, tps: 148.00, reads: 2076.00, writes: 588.00, response time: 44.45ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 4, tps: 145.00, reads: 2037.99, writes: 588.00, response time: 39.64ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 4, tps: 150.00, reads: 2081.01, writes: 592.00, response time: 40.95ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 4, tps: 143.00, reads: 2006.99, writes: 577.00, response time: 44.62ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 4, tps: 143.00, reads: 2010.99, writes: 575.00, response time: 40.42ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 4, tps: 144.00, reads: 1992.05, writes: 568.02, response time: 42.57ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 4, tps: 145.00, reads: 2039.95, writes: 583.99, response time: 48.13ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 4, tps: 147.00, reads: 2077.99, writes: 599.00, response time: 39.21ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 4, tps: 145.00, reads: 1990.01, writes: 565.00, response time: 72.01ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 4, tps: 152.01, reads: 2136.08, writes: 611.02, response time: 39.42ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 4, tps: 146.00, reads: 2037.98, writes: 583.99, response time: 44.49ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 4, tps: 148.00, reads: 2098.00, writes: 594.00, response time: 38.22ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 4, tps: 146.00, reads: 2027.96, writes: 582.99, response time: 40.53ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 4, tps: 143.00, reads: 2018.96, writes: 571.99, response time: 44.00ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 4, tps: 145.00, reads: 2031.01, writes: 580.00, response time: 40.96ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 4, tps: 144.00, reads: 2026.02, writes: 576.01, response time: 40.82ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 4, tps: 145.00, reads: 2007.98, writes: 578.00, response time: 67.12ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 4, tps: 142.00, reads: 2004.07, writes: 567.02, response time: 52.97ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 4, tps: 144.00, reads: 2017.01, writes: 581.00, response time: 42.48ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 4, tps: 150.99, reads: 2118.90, writes: 607.97, response time: 38.05ms (99%), errors: 0.00, reconnects:  0.00
