sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 32, tps: 902.86, reads: 13081.90, writes: 3723.40, response time: 67.14ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 32, tps: 909.04, reads: 12397.49, writes: 3524.14, response time: 67.56ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 32, tps: 879.00, reads: 12616.99, writes: 3569.00, response time: 63.26ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 32, tps: 897.00, reads: 12576.02, writes: 3615.01, response time: 68.17ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 32, tps: 903.00, reads: 12605.97, writes: 3536.99, response time: 66.82ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 32, tps: 919.98, reads: 12526.79, writes: 3674.94, response time: 45.04ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 32, tps: 876.03, reads: 12659.42, writes: 3629.12, response time: 49.59ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 32, tps: 900.99, reads: 12313.81, writes: 3478.95, response time: 68.19ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 32, tps: 898.98, reads: 12655.73, writes: 3599.92, response time: 70.04ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 32, tps: 872.00, reads: 12438.02, writes: 3608.00, response time: 65.18ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 32, tps: 915.99, reads: 12432.86, writes: 3539.96, response time: 66.82ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 32, tps: 882.02, reads: 12641.32, writes: 3529.09, response time: 69.10ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 32, tps: 886.98, reads: 12502.68, writes: 3670.91, response time: 49.17ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 32, tps: 913.03, reads: 12458.40, writes: 3528.11, response time: 61.32ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 32, tps: 885.00, reads: 12464.00, writes: 3540.00, response time: 42.37ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 32, tps: 892.00, reads: 12589.99, writes: 3568.00, response time: 42.88ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 32, tps: 921.00, reads: 12671.04, writes: 3684.01, response time: 43.93ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 32, tps: 889.00, reads: 12787.00, writes: 3567.00, response time: 45.17ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 32, tps: 911.00, reads: 12761.01, writes: 3652.00, response time: 40.12ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 32, tps: 905.00, reads: 12704.99, writes: 3712.00, response time: 62.84ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 32, tps: 932.00, reads: 12665.96, writes: 3616.99, response time: 67.65ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 32, tps: 913.98, reads: 12993.70, writes: 3656.92, response time: 38.71ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 32, tps: 859.02, reads: 12205.31, writes: 3542.09, response time: 47.27ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 32, tps: 939.00, reads: 12718.03, writes: 3651.01, response time: 62.34ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 32, tps: 871.98, reads: 12640.75, writes: 3565.93, response time: 67.52ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 32, tps: 927.00, reads: 12656.94, writes: 3663.98, response time: 67.77ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 32, tps: 885.97, reads: 12722.54, writes: 3599.87, response time: 68.40ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 32, tps: 880.02, reads: 12240.25, writes: 3437.07, response time: 67.60ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 32, tps: 883.98, reads: 12458.78, writes: 3654.94, response time: 64.48ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 32, tps: 912.01, reads: 12765.19, writes: 3630.05, response time: 64.06ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 32, tps: 907.98, reads: 12714.71, writes: 3644.92, response time: 59.73ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 32, tps: 920.06, reads: 12826.80, writes: 3567.22, response time: 47.12ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 32, tps: 882.98, reads: 12362.77, writes: 3537.93, response time: 70.31ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 32, tps: 903.99, reads: 12708.92, writes: 3725.98, response time: 67.24ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 32, tps: 921.02, reads: 12618.29, writes: 3558.08, response time: 43.24ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 32, tps: 883.98, reads: 12558.73, writes: 3535.92, response time: 66.44ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 32, tps: 845.98, reads: 11900.68, writes: 3398.91, response time: 65.32ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 32, tps: 919.00, reads: 12901.99, writes: 3789.00, response time: 40.09ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 32, tps: 901.04, reads: 12248.60, writes: 3476.17, response time: 69.33ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 32, tps: 918.00, reads: 12962.02, writes: 3672.01, response time: 65.53ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 32, tps: 877.00, reads: 12369.00, writes: 3512.00, response time: 67.85ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 32, tps: 928.00, reads: 12737.98, writes: 3715.99, response time: 67.44ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 32, tps: 851.98, reads: 12346.71, writes: 3519.92, response time: 42.28ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 32, tps: 947.01, reads: 13190.11, writes: 3672.03, response time: 42.13ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 32, tps: 851.97, reads: 11976.63, writes: 3458.89, response time: 64.73ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 32, tps: 947.04, reads: 12998.62, writes: 3733.18, response time: 66.08ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 32, tps: 883.98, reads: 12394.74, writes: 3537.93, response time: 43.54ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 32, tps: 940.00, reads: 13196.05, writes: 3758.01, response time: 58.35ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 32, tps: 887.01, reads: 12452.14, writes: 3548.04, response time: 45.78ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 32, tps: 920.00, reads: 13058.01, writes: 3744.00, response time: 39.88ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 32, tps: 888.00, reads: 12251.06, writes: 3488.02, response time: 51.44ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 32, tps: 924.00, reads: 12804.01, writes: 3700.00, response time: 44.25ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 32, tps: 905.97, reads: 12575.65, writes: 3623.90, response time: 65.89ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 32, tps: 918.01, reads: 13285.11, writes: 3787.03, response time: 40.47ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 32, tps: 879.00, reads: 12304.03, writes: 3480.01, response time: 66.30ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 32, tps: 918.02, reads: 12801.24, writes: 3598.07, response time: 39.59ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 32, tps: 913.98, reads: 12733.78, writes: 3649.94, response time: 41.60ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 32, tps: 944.01, reads: 12997.15, writes: 3777.04, response time: 38.37ms (99%), errors: 0.00, reconnects:  0.00
[  59s] threads: 32, tps: 888.95, reads: 12749.32, writes: 3580.81, response time: 40.91ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 32, tps: 919.03, reads: 12841.41, writes: 3670.12, response time: 41.30ms (99%), errors: 0.00, reconnects:  0.00
