sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 64, tps: 1071.80, reads: 15894.99, writes: 4539.14, response time: 105.51ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 64, tps: 1199.04, reads: 16360.56, writes: 4548.15, response time: 104.79ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 64, tps: 1077.96, reads: 15523.49, writes: 4563.85, response time: 66.92ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 64, tps: 1209.00, reads: 16836.03, writes: 4597.01, response time: 61.37ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 64, tps: 1148.03, reads: 16084.46, writes: 4587.13, response time: 64.10ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 64, tps: 1211.02, reads: 16139.32, writes: 4832.09, response time: 60.50ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 64, tps: 1134.98, reads: 16498.68, writes: 4539.91, response time: 104.47ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 64, tps: 1137.02, reads: 15561.28, writes: 4548.08, response time: 107.78ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 64, tps: 1139.00, reads: 16351.98, writes: 4571.99, response time: 66.72ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 64, tps: 1139.00, reads: 15999.95, writes: 4543.99, response time: 104.47ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 64, tps: 1145.97, reads: 16213.61, writes: 4663.89, response time: 64.89ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 64, tps: 1134.97, reads: 15886.65, writes: 4551.90, response time: 104.22ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 64, tps: 1133.04, reads: 15872.50, writes: 4587.14, response time: 108.20ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 64, tps: 1128.97, reads: 15808.65, writes: 4605.90, response time: 108.29ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 64, tps: 1195.02, reads: 15976.32, writes: 4540.09, response time: 104.53ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 64, tps: 1126.03, reads: 16066.36, writes: 4507.10, response time: 110.82ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 64, tps: 1130.00, reads: 15701.01, writes: 4516.00, response time: 108.16ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 64, tps: 1080.94, reads: 15702.19, writes: 4570.77, response time: 67.36ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 64, tps: 1199.02, reads: 16772.24, writes: 4690.07, response time: 62.99ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 64, tps: 1138.02, reads: 15947.29, writes: 4627.08, response time: 100.85ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 64, tps: 1145.99, reads: 16018.92, writes: 4416.98, response time: 66.02ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 64, tps: 1134.00, reads: 15838.01, writes: 4511.00, response time: 107.97ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 64, tps: 1139.97, reads: 16024.55, writes: 4790.86, response time: 60.21ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 64, tps: 1144.03, reads: 15466.44, writes: 4329.12, response time: 66.32ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 64, tps: 1134.00, reads: 16015.95, writes: 4527.99, response time: 104.53ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 64, tps: 1141.03, reads: 16242.38, writes: 4575.11, response time: 67.54ms (99%), errors: 0.00, reconnects:  0.00
