sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1024
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 1024, tps: 1050.76, reads: 25337.30, writes: 4403.01, response time: 746.86ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1024, tps: 1074.05, reads: 18456.81, writes: 7570.33, response time: 696.54ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1024, tps: 2049.89, reads: 24568.64, writes: 4725.74, response time: 681.28ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1024, tps: 1079.07, reads: 18885.28, writes: 5796.39, response time: 851.23ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1024, tps: 2034.03, reads: 19602.29, writes: 6773.10, response time: 736.20ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1024, tps: 1079.00, reads: 22597.00, writes: 4199.00, response time: 718.78ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1024, tps: 1057.98, reads: 16407.72, writes: 8009.87, response time: 739.74ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1024, tps: 2047.95, reads: 24903.38, writes: 4509.89, response time: 720.08ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1024, tps: 1103.04, reads: 18402.74, writes: 4804.19, response time: 750.44ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1024, tps: 1986.95, reads: 19529.54, writes: 7599.82, response time: 761.76ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1024, tps: 1091.02, reads: 23153.52, writes: 4224.09, response time: 715.78ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1024, tps: 1081.93, reads: 16076.91, writes: 7738.47, response time: 732.03ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1024, tps: 2044.13, reads: 22878.47, writes: 4780.31, response time: 765.65ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1024, tps: 1121.97, reads: 20580.48, writes: 4764.88, response time: 712.36ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1024, tps: 1955.06, reads: 19088.58, writes: 7702.24, response time: 718.78ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1024, tps: 1122.97, reads: 22916.48, writes: 4317.90, response time: 741.29ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1024, tps: 1023.99, reads: 16705.90, writes: 7780.95, response time: 720.94ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1024, tps: 2085.10, reads: 23339.15, writes: 4655.23, response time: 732.69ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1024, tps: 1039.95, reads: 19422.15, writes: 4251.81, response time: 769.78ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1024, tps: 1093.94, reads: 16151.16, writes: 7909.59, response time: 751.34ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1024, tps: 2048.12, reads: 23743.36, writes: 4690.27, response time: 773.71ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1024, tps: 1058.99, reads: 19739.86, writes: 5343.96, response time: 701.99ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1024, tps: 2067.06, reads: 20053.56, writes: 7080.20, response time: 713.64ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1024, tps: 1073.97, reads: 22314.33, writes: 4312.87, response time: 750.00ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 1024, tps: 1116.94, reads: 16866.16, writes: 7978.60, response time: 712.57ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 1024, tps: 2013.15, reads: 23324.72, writes: 4620.34, response time: 735.10ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 1024, tps: 1059.97, reads: 20068.45, writes: 4453.88, response time: 771.40ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 1024, tps: 2028.06, reads: 19394.60, writes: 7898.25, response time: 702.41ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 1024, tps: 1070.97, reads: 22917.46, writes: 4197.90, response time: 699.26ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1024, tps: 1086.02, reads: 16252.37, writes: 7749.18, response time: 703.46ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 1024, tps: 2072.92, reads: 21705.18, writes: 4907.81, response time: 762.22ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 1024, tps: 1057.04, reads: 21503.80, writes: 4204.16, response time: 723.32ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 1024, tps: 2053.96, reads: 18426.64, writes: 8285.84, response time: 707.68ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 1024, tps: 1087.02, reads: 22166.45, writes: 4232.09, response time: 785.38ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 1024, tps: 1044.96, reads: 18762.33, writes: 5555.80, response time: 741.73ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 1024, tps: 2063.03, reads: 19304.33, writes: 6875.12, response time: 743.96ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 1024, tps: 1056.00, reads: 22785.97, writes: 4638.99, response time: 813.62ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 1024, tps: 1202.03, reads: 16655.37, writes: 7315.16, response time: 774.64ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 1024, tps: 1822.99, reads: 20420.92, writes: 4552.98, response time: 786.79ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1024, tps: 1242.97, reads: 20767.57, writes: 4808.90, response time: 812.16ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 1024, tps: 1029.96, reads: 16951.39, writes: 6807.76, response time: 725.49ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 1024, tps: 1945.10, reads: 21859.15, writes: 5442.29, response time: 802.73ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 1024, tps: 1126.98, reads: 19838.66, writes: 4142.93, response time: 802.97ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 1024, tps: 1776.02, reads: 17973.24, writes: 7503.10, response time: 823.42ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 1024, tps: 1236.98, reads: 22098.66, writes: 4765.93, response time: 759.71ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 1024, tps: 1246.02, reads: 18407.23, writes: 6141.08, response time: 814.83ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 1024, tps: 1675.01, reads: 19273.12, writes: 5696.04, response time: 787.97ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 1024, tps: 1230.97, reads: 21371.43, writes: 5109.86, response time: 791.51ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1024, tps: 1267.94, reads: 17583.19, writes: 6137.72, response time: 776.73ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1024, tps: 1653.13, reads: 21329.67, writes: 5468.43, response time: 789.86ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 1024, tps: 1225.96, reads: 19334.38, writes: 5162.83, response time: 764.04ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 1024, tps: 1660.02, reads: 18871.18, writes: 6390.06, response time: 795.55ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 1024, tps: 1284.03, reads: 20623.47, writes: 5150.12, response time: 759.94ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 1024, tps: 1339.97, reads: 18994.51, writes: 5536.86, response time: 787.26ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 1024, tps: 1507.00, reads: 18490.03, writes: 5678.01, response time: 795.79ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 1024, tps: 1227.00, reads: 19519.07, writes: 5229.02, response time: 824.65ms (99%), errors: 0.00, reconnects:  0.00
