sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 4, tps: 125.98, reads: 1789.69, writes: 507.91, response time: 47.03ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 4, tps: 128.00, reads: 1821.01, writes: 517.00, response time: 45.27ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 4, tps: 129.00, reads: 1781.05, writes: 514.01, response time: 46.34ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 4, tps: 132.00, reads: 1852.94, writes: 521.98, response time: 46.75ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 4, tps: 129.00, reads: 1821.98, writes: 523.00, response time: 49.42ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 4, tps: 131.00, reads: 1804.02, writes: 520.01, response time: 50.28ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 4, tps: 126.00, reads: 1797.05, writes: 508.01, response time: 46.29ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 4, tps: 125.00, reads: 1735.00, writes: 495.00, response time: 62.97ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 4, tps: 122.00, reads: 1718.96, writes: 489.99, response time: 51.69ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 4, tps: 128.00, reads: 1798.00, writes: 515.00, response time: 48.19ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 4, tps: 126.00, reads: 1736.04, writes: 503.01, response time: 60.99ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 4, tps: 127.00, reads: 1805.95, writes: 514.99, response time: 65.12ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 4, tps: 124.00, reads: 1734.01, writes: 489.00, response time: 51.41ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 4, tps: 126.00, reads: 1753.01, writes: 508.00, response time: 49.28ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 4, tps: 129.00, reads: 1816.03, writes: 508.01, response time: 53.96ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 4, tps: 123.00, reads: 1708.98, writes: 492.99, response time: 45.66ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 4, tps: 127.00, reads: 1761.01, writes: 507.00, response time: 52.23ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 4, tps: 129.00, reads: 1834.94, writes: 516.98, response time: 49.48ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 4, tps: 130.01, reads: 1791.08, writes: 516.02, response time: 49.25ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 4, tps: 121.00, reads: 1707.96, writes: 483.99, response time: 48.26ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 4, tps: 121.00, reads: 1712.98, writes: 495.00, response time: 50.09ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 4, tps: 125.00, reads: 1735.95, writes: 497.99, response time: 47.13ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 4, tps: 126.00, reads: 1765.01, writes: 501.00, response time: 48.22ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 4, tps: 127.00, reads: 1782.05, writes: 505.01, response time: 45.83ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 4, tps: 126.00, reads: 1759.03, writes: 507.01, response time: 52.94ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 4, tps: 124.00, reads: 1747.95, writes: 498.99, response time: 47.54ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 4, tps: 130.00, reads: 1795.06, writes: 511.02, response time: 48.38ms (99%), errors: 0.00, reconnects:  0.00
