sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 8
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 8, tps: 256.96, reads: 3674.45, writes: 1030.84, response time: 43.72ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 8, tps: 251.99, reads: 3554.92, writes: 1027.98, response time: 49.48ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 8, tps: 265.00, reads: 3659.06, writes: 1041.02, response time: 47.32ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 8, tps: 258.00, reads: 3617.00, writes: 1036.00, response time: 53.27ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 8, tps: 259.99, reads: 3688.87, writes: 1043.96, response time: 45.55ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 8, tps: 261.01, reads: 3653.11, writes: 1051.03, response time: 50.37ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 8, tps: 269.00, reads: 3761.05, writes: 1077.02, response time: 46.78ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 8, tps: 252.99, reads: 3532.86, writes: 1003.96, response time: 53.54ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 8, tps: 262.00, reads: 3669.99, writes: 1047.00, response time: 44.63ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 8, tps: 268.02, reads: 3758.22, writes: 1079.06, response time: 48.38ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 8, tps: 270.99, reads: 3793.83, writes: 1082.95, response time: 43.98ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 8, tps: 257.00, reads: 3573.07, writes: 1019.02, response time: 53.53ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 8, tps: 259.00, reads: 3652.02, writes: 1044.01, response time: 43.68ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 8, tps: 251.00, reads: 3459.97, writes: 988.99, response time: 61.71ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 8, tps: 261.99, reads: 3722.93, writes: 1060.98, response time: 47.70ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 8, tps: 262.00, reads: 3647.06, writes: 1037.02, response time: 45.96ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 8, tps: 266.99, reads: 3739.92, writes: 1073.98, response time: 45.47ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 8, tps: 252.01, reads: 3528.18, writes: 1013.05, response time: 53.56ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 8, tps: 268.99, reads: 3764.84, writes: 1077.95, response time: 48.39ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 8, tps: 258.00, reads: 3631.07, writes: 1027.02, response time: 45.88ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 8, tps: 256.00, reads: 3551.97, writes: 1024.99, response time: 49.17ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 8, tps: 256.00, reads: 3608.03, writes: 1021.01, response time: 46.10ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 8, tps: 261.99, reads: 3656.89, writes: 1048.97, response time: 49.49ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 8, tps: 265.01, reads: 3694.12, writes: 1055.03, response time: 44.88ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 8, tps: 256.00, reads: 3600.94, writes: 1027.98, response time: 48.28ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 8, tps: 265.00, reads: 3687.05, writes: 1059.01, response time: 49.46ms (99%), errors: 0.00, reconnects:  0.00
